Program,Silver Signal,Gold Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Advocate Health Care/Advocate Illinois Masonic Medical Center Program,0.25,0.26,0.01,0.27,0.07,0.06,0.08,0.08,0.13,Chicago,IL,East North Central
Albany Medical Center Program,0.21,0.47,0.01,0.18,0.04,0.06,0.07,0.02,0,Albany,NY,Middle Atlantic
Allegheny Health Network Medical Education Consortium (AGH/WPH) Program,0.24,0.58,0.01,0.32,0.05,0.07,0.14,0.03,0.03,Pittsburgh,PA,Middle Atlantic
Baylor All Saints Medical Center Fort Worth Program,-,-,-,0.47,0.05,0.14,0.13,0,0,Fort Worth,TX,West South Central
Baylor College of Medicine Program,0.22,0.48,0,0.5,0.04,0.14,0,0,0,Houston,TX,West South Central
Beth Israel Deaconess Medical Center Program,0.34,0.45,0,0.52,0.13,0.2,0.03,0.03,0.05,Boston,MA,New England
Boston University Medical Center Program,0.27,0.47,0,0.57,0.08,0.11,0.05,0.06,0.07,Boston,MA,New England
Brown University/Rhode Island Hospital-Lifespan Program,0.78,0.88,0.2,1,0.35,0.47,0.14,0.07,0.07,Providence,RI,New England
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.28,0.41,0.01,0.56,0.07,0.13,0.07,0,0.03,Cleveland,OH,East North Central
Cedars-Sinai Medical Center Program,0.34,0.6,0.13,0.49,0.2,0.33,0.07,0.01,0.01,Los Angeles,CA,Pacific
Cleveland Clinic Florida Program,0.35,0.39,0.01,0.32,0.05,0.09,0.03,0.04,0.05,Weston,FL,South Atlantic
Cleveland Clinic Foundation Program,0.3,0.59,0,0.5,0.1,0.15,0.15,0.02,0.04,Cleveland,OH,East North Central
Cleveland Clinic Foundation/South Pointe Hospital Program,0.18,0.47,0,0.23,0.04,0,0.09,0,0,Warrensville Heights,OH,East North Central
Cook County Health and Hospitals System Program,0.13,0.26,0.01,0.18,0.05,0.05,0.02,0.11,0.06,Chicago,IL,East North Central
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.44,0.63,0.03,0.63,0.09,0.14,0.14,0.05,0,Camden,NJ,Middle Atlantic
Corewell Health William Beaumont University Hospital Program,-,-,-,-,-,-,-,-,-,Royal Oak,MI,East North Central
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,0.47,0.64,0,0.88,0.09,0.14,0.07,0.01,0,Lebanon,NH,New England
Detroit Medical Center/Wayne State University Program,-,-,-,-,-,-,-,-,-,Detroit,MI,East North Central
Duke University Hospital Program,0.13,0.41,0,0.38,0.08,0.11,0,0.02,0,Durham,NC,South Atlantic
Emory University School of Medicine Program,0.12,0.58,0,0.52,0.07,0.11,0.02,0.01,0.01,Atlanta,GA,South Atlantic
Geisinger Health System Program,0.67,0.67,0.05,0.26,0.08,0.12,0.12,0.04,0.06,Danville,PA,Middle Atlantic
George Washington University Program,0.15,0.63,0,0.38,0.06,0.08,0.05,0.03,0.02,Washington,DC,South Atlantic
Hackensack University Medical Center Program,-,-,-,-,-,-,-,-,-,Hackensack,NJ,Middle Atlantic
HCA Florida Healthcare/Kendall Hospital Program,0.09,0.27,0.02,0.36,0.04,0.04,0.09,0.08,0.02,Miami,FL,South Atlantic
HCA Florida Healthcare/Westside/Northwest Hospital Program,0.15,0.32,0.04,0.44,0.05,0.11,0.08,0.04,0,Plantation,FL,South Atlantic
HCA Healthcare Riverside Program,-,-,-,-,-,-,-,-,-,Riverside,CA,Pacific
HCA Healthcare Sunrise Health GME/MountainView Program,-,-,-,-,-,-,-,-,-,Las Vegas,NV,Mountain
HCA Healthcare/Los Robles Regional Medical Center Program,0.13,0.36,0.19,0.38,0.16,0.29,0.14,0.07,0.07,Thousand Oaks,CA,Pacific
HCA Healthcare/Mercer University School of Medicine/Grand Strand Medical Center Program,0.15,0.19,0.05,0.72,0.04,0.09,0.04,0.01,0.02,Myrtle Beach,SC,South Atlantic
HCA HealthONE Program,0.05,0.51,0.03,0.5,0.03,0.03,0.1,0.01,0,Englewood,CO,Mountain
Henry Ford Health/Henry Ford Hospital Program,0.19,0.41,0.03,0.83,0.05,0.13,0.1,0.04,0.09,Detroit,MI,East North Central
Icahn School of Medicine at Mount Sinai/Morningside/West Program,0.14,0.54,0.02,0.27,0.08,0.15,0.06,0.03,0.04,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,0.26,0.46,0.03,0.35,0.12,0.21,0,0,0,New York,NY,Middle Atlantic
Indiana University School of Medicine Program,0.18,0.7,0.01,0.91,0.06,0.12,0.1,0.04,0.01,Indianapolis,IN,East North Central
Jersey Shore University Medical Center Program,-,-,-,0.35,0.03,0.08,0.03,0.02,0,Neptune City,NJ,Middle Atlantic
Johns Hopkins University Program,0.12,0.7,0,0.6,0.11,0.14,0.08,0.02,0.14,Baltimore,MD,South Atlantic
Kaweah Delta Health Care District (KDHCD) Program,0.19,0.7,0,0.18,0.05,0.04,0.12,0,0,Visalia,CA,Pacific
Kettering Health Network Program,0.27,0.6,0.02,0.19,0.05,0.01,0.13,0.01,0,Dayton,OH,East North Central
Lahey Clinic Program,0.72,0.68,0.16,0.84,0.22,0.33,0.11,0.09,0.17,Burlington,MA,New England
Loma Linda University Health Education Consortium Program,0.38,0.47,0.09,0.49,0.11,0.25,0.08,0.02,0.01,Loma Linda,CA,Pacific
Los Angeles County-Harbor-UCLA Medical Center Program,-,-,-,0.43,0.14,0.23,0.17,0,0,Torrance,CA,Pacific
Louisiana State University (Shreveport) Program,0.22,0.39,0.13,0.82,0.12,0.22,0.17,0.03,0.03,Shreveport,LA,West South Central
Louisiana State University School of Medicine Program,0.54,0.88,0.02,0.59,0.06,0.13,0.01,0.02,0,New Orleans,LA,West South Central
Loyola University Medical Center Program,0.37,0.46,0.01,0.42,0.08,0.12,0.11,0.03,0.01,Maywood,IL,East North Central
Maimonides Medical Center Program,0.35,0.45,0.05,0.55,0.1,0.19,0.21,0.07,0.02,Brooklyn,NY,Middle Atlantic
MaineHealth Program,0.44,0.58,0,0.67,0.08,0.1,0.11,0.02,0.01,Portland,ME,New England
Mass General Brigham/Brigham and Women's Hospital Program,0.17,0.56,0.02,0.44,0.12,0.18,0,0.01,0.02,Boston,MA,New England
Mass General Brigham/Massachusetts General Hospital Program,0.17,0.41,0.01,0.52,0.09,0.14,0.02,0.01,0.03,Boston,MA,New England
Mayo Clinic College of Medicine and Science (Jacksonville) Program,0.02,0.51,0,0.11,0.04,0.04,0.08,0.03,0.04,Jacksonville,FL,South Atlantic
Mayo Clinic College of Medicine and Science (Phoenix) Program,0.31,0.39,0.02,0.33,0.07,0.12,0,0,0,Phoenix,AZ,Mountain
Mayo Clinic College of Medicine and Science (Rochester) Program,0.32,0.52,0.02,0.48,0.12,0.18,0.05,0.03,0.07,Rochester,MN,West North Central
McGaw Medical Center of Northwestern University Program,0.11,0.63,0.02,0.37,0.1,0.16,0,0,0,Chicago,IL,East North Central
McLaren Health Care Corporation Program,0.35,0.35,0.1,0.66,0.09,0.15,0.15,0.1,0,Flint,MI,East North Central
McLaren Health Care/Greater Lansing/MSU Program,0.27,0.73,0.04,0.32,0.07,0.06,0.12,0.07,0,Lansing,MI,East North Central
McLaren Health Care/Oakland/MSU Program,0.19,0.48,0,0.21,0.02,0.01,0.07,0.03,0,Pontiac,MI,East North Central
Medical College of Georgia Program,0.18,0.4,0.01,0.51,0.07,0.09,0.08,0.06,0.08,Augusta,GA,South Atlantic
Medical College of Wisconsin Affiliated Hospitals Program,0.26,0.49,0.01,0.85,0.08,0.15,0.07,0.01,0.01,Milwaukee,WI,East North Central
Medical University of South Carolina Program,0.28,0.59,0,0.67,0.11,0.17,0.05,0,0,Charleston,SC,South Atlantic
MedStar Health/Georgetown University Hospital Program,0.13,0.43,0,0.14,0.07,0.09,0.05,0,0,Washington,DC,South Atlantic
"Memorial Healthcare System, Hollywood, Florida Program",0.14,0.41,0,0.33,0.02,0.05,0.03,0.02,0.02,Pembroke Pines,FL,South Atlantic
Methodist Hospital (Houston) Program,0,0.14,0,0.05,0,0.01,0.01,0,0,Houston,TX,West South Central
Montefiore Medical Center/Albert Einstein College of Medicine Program,0.53,0.67,0.02,0.4,0.12,0.22,0.04,0.07,0.04,Bronx,NY,Middle Atlantic
"Mount Sinai Medical Center of Florida, Inc Program",0.05,0.13,0.04,0.17,0.05,0.08,0.03,0.04,0,Miami Beach,FL,South Atlantic
National Capital Consortium Program,-,-,-,-,-,-,-,-,-,Bethesda,MD,South Atlantic
Naval Medical Center (Portsmouth) Program,-,-,-,-,-,-,-,-,-,Portsmouth,VA,South Atlantic
Naval Medical Center (San Diego) Program,-,-,-,-,-,-,-,-,-,San Diego,CA,Pacific
New York Medical College at Metropolitan Hospital Program,0.16,0.26,0.05,0.09,0.08,0.04,0,0.07,0.29,New York,NY,Middle Atlantic
New York Presbyterian Hospital (Columbia Campus) Program,0.58,0.74,0.09,0.47,0.25,0.37,0.01,0.02,0.01,New York,NY,Middle Atlantic
New York Presbyterian Hospital (Cornell Campus) Program,0.18,0.53,0,0.24,0.11,0.18,0,0,0,New York,NY,Middle Atlantic
New York-Presbyterian Brooklyn Methodist Hospital Program,-,-,-,-,-,-,-,-,-,Brooklyn,NY,Middle Atlantic
Nuvance Health Program,0.38,0.23,0.09,0.35,0.09,0.21,0.12,0,0.01,Poughkeepsie,NY,Middle Atlantic
NYU Grossman School of Medicine Program,0.73,0.87,0.25,0.78,0.41,0.58,0.37,0.14,0.01,New York,NY,Middle Atlantic
Ochsner Clinic Foundation Program,0.41,0.66,0,0.41,0.08,0.13,0.09,0.05,0,New Orleans,LA,West South Central
Ohio State University Hospital Program,0.34,0.49,0,0.48,0.1,0.16,0.08,0.01,0.02,Columbus,OH,East North Central
OhioHealth/Doctors Hospital Program,0.25,0.32,0.08,0.32,0.09,0.01,0.18,0.01,0,Columbus,OH,East North Central
Oklahoma State University Center for Health Sciences Program,-,-,-,-,-,-,-,-,-,Tulsa,OK,West South Central
Oregon Health & Science University (OHSU Health) Program,0.28,0.51,0.01,0.95,0.11,0.16,0.07,0.05,0.05,Portland,OR,Pacific
Penn State Milton S Hershey Medical Center Program,0.55,0.87,0.04,0.51,0.14,0.17,0.26,0.02,0.03,Hershey,PA,Middle Atlantic
Riverside University Health System Program,0.23,0.73,0.03,0.45,0.08,0.12,0.2,0.05,0.03,Moreno Valley,CA,Pacific
Robert Packer Hospital Program,0.46,0.58,0.11,0.47,0.09,0.13,0.21,0.04,0.03,Sayre,PA,Middle Atlantic
Rush University Medical Center Program,0.3,0.43,0.01,0.37,0.09,0.15,0.11,0.01,0,Chicago,IL,East North Central
Rutgers Health/New Jersey Medical School Program,0.39,0.35,0.03,0.95,0.08,0.15,0.09,0.09,0.04,Newark,NJ,Middle Atlantic
Rutgers Health/Robert Wood Johnson Medical School Program,0.31,0.62,0.02,0.81,0.07,0.13,0.12,0.03,0,New Brunswick,NJ,Middle Atlantic
San Antonio Uniformed Services Health Education Consortium Program,-,-,-,-,-,-,-,-,-,Fort Sam Houston,TX,West South Central
Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,0.1,0.65,0.02,0.37,0.05,0.11,0.09,0.01,0,Philadelphia,PA,Middle Atlantic
SSM Health/Saint Louis University School of Medicine Program,-,-,-,-,-,-,-,-,-,St. Louis,MO,West North Central
St Elizabeth's Medical Center Program,-,-,-,0.57,0.05,0.09,0.03,0.05,0.01,Boston,MA,New England
St Joseph's Medical Center Program,0.39,0.5,0.03,0.27,0.07,0.11,0.13,0.05,0,Stockton,CA,Pacific
St Joseph's University Medical Center Program,0.27,0.29,0.02,0.38,0.06,0.08,0.1,0.07,0.01,Paterson,NJ,Middle Atlantic
Stanford Health Care-Sponsored Stanford University Program,0.24,0.48,0.04,0.26,0.15,0.2,0.01,0.03,0.02,Stanford,CA,Pacific
Stony Brook Medicine/University Hospital Program,-,-,-,-,-,-,-,-,-,Stony Brook,NY,Middle Atlantic
SUNY Downstate Health Sciences University Program,0.17,0.25,0.07,0.37,0.08,0.16,0.09,0.05,0.03,Brooklyn,NY,Middle Atlantic
SUNY Upstate Medical University Program,0.24,0.42,0.03,0.25,0.06,0.09,0.14,0.04,0.01,Syracuse,NY,Middle Atlantic
Sutter Health/Sutter Roseville Medical Center Program,-,-,-,0.63,0.39,0.57,0.4,0.24,0,Roseville,CA,Pacific
Temple University Hospital Program,0.35,0.5,0,0.25,0.08,0.12,0.11,0.01,0.01,Philadelphia,PA,Middle Atlantic
Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,0.27,0.66,0.01,0.48,0.05,0.13,0.12,0,0,Temple,TX,West South Central
Texas Tech University Health Sciences Center at Lubbock Program,0.21,0.56,0.07,0.59,0.02,0.18,0.01,0,0,Lubbock,TX,West South Central
The MetroHealth System/Case Western Reserve University Program,0.14,0.14,0.08,0.78,0.06,0.13,0.06,0.09,0.05,Cleveland,OH,East North Central
Tower Health Program,0.32,0.27,0.05,0.35,0.05,0.11,0.11,0.01,0.04,West Reading,PA,Middle Atlantic
Tufts Medical Center Program,0.23,0.52,0,0.67,0.07,0.12,0.06,0.03,0.02,Boston,MA,New England
Tulane University Program,0.34,0.88,0.02,0.61,0.04,0.1,0.02,0.01,0,New Orleans,LA,West South Central
UCLA David Geffen School of Medicine/UCLA Medical Center Program,0.12,0.3,0.05,0.3,0.09,0.15,0,0,0,Los Angeles,CA,Pacific
UMass Chan - Baystate Program,0.22,0.27,0.14,0.81,0.15,0.23,0.11,0.14,0.09,Springfield,MA,New England
UMass Chan Medical School Program,0.23,0.56,0.01,0.45,0.06,0.1,0.1,0.02,0,Worcester,MA,New England
University at Buffalo Program,0.19,0.36,0.14,0.37,0.13,0.24,0.13,0.05,0.05,Buffalo,NY,Middle Atlantic
University of Alabama Medical Center Program,0.41,0.66,0.04,0.63,0.16,0.25,0.08,0,0.02,Birmingham,AL,East South Central
University of Arizona College of Medicine-Tucson Program,0.24,0.45,0.01,0.5,0.07,0.11,0.08,0.01,0.02,Tucson,AZ,Mountain
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,1,1,0.02,0.96,0.26,0.23,0.17,0.42,0.39,Little Rock,AR,West South Central
University of California (Irvine) Program,0.46,0.63,0.02,0.43,0.14,0.25,0,0,0,Orange,CA,Pacific
University of California (San Diego) Medical Center Program,0.12,0.44,0,0.34,0.08,0.15,0,0,0,San Diego,CA,Pacific
University of California (San Francisco) Program,0.38,0.55,0.04,0.35,0.15,0.23,0.01,0.01,0.01,San Francisco,CA,Pacific
University of California Davis Health Program,0.39,0.72,0.01,0.45,0.13,0.24,0.1,0,0,Sacramento,CA,Pacific
University of Central Florida/HCA Florida Healthcare (Ocala) Program,0.29,0.4,0.05,0.46,0.08,0.14,0.09,0.14,0,Ocala,FL,South Atlantic
University of Chicago Program,0.38,0.76,0,0.47,0.13,0.21,0.01,0.02,0.02,Chicago,IL,East North Central
University of Cincinnati Medical Center/College of Medicine Program,0.32,0.69,0.01,0.47,0.1,0.15,0.09,0.01,0.01,Cincinnati,OH,East North Central
University of Colorado Program,0.22,0.43,0,0.42,0.1,0.14,0.07,0.01,0,Aurora,CO,Mountain
University of Connecticut Program,0.33,0.43,0.01,0.5,0.09,0.09,0.13,0.05,0.05,Farmington,CT,New England
University of Florida College of Medicine Jacksonville Program,0.1,0.44,0,0.12,0.04,0.03,0.07,0.02,0.01,Jacksonville,FL,South Atlantic
University of Florida Program,0.12,0.59,0.02,0.5,0.08,0.13,0.09,0.05,0.02,Gainesville,FL,South Atlantic
University of Illinois College of Medicine at Chicago Program,0.39,0.52,0.03,0.48,0.1,0.18,0.03,0.03,0.03,Chicago,IL,East North Central
University of Illinois College of Medicine at Peoria Program,0.26,0.2,0.08,0.34,0.08,0.16,0.09,0.01,0,Peoria,IL,East North Central
University of Iowa Hospitals and Clinics Program,0.46,0.8,0.02,0.83,0.12,0.19,0.09,0.03,0.08,Iowa City,IA,West North Central
University of Kansas (Wichita) Program,0.58,0.66,0.02,0.92,0.08,0.09,0.15,0,0,Wichita,KS,West North Central
University of Kansas School of Medicine Program,0.16,0.9,0,1,0.09,0.1,0.16,0,0,Kansas City,KS,West North Central
University of Kentucky College of Medicine Program,0.57,0.73,0,0.76,0.15,0.22,0.15,0.01,0,Lexington,KY,East South Central
University of Louisville School of Medicine Program,0.27,0.85,0,0.64,0.08,0.11,0.1,0,0,Louisville,KY,East South Central
University of Maryland Program,0.71,0.64,0.06,0.86,0.2,0.27,0.08,0.01,0.01,Baltimore,MD,South Atlantic
University of Miami/Jackson Health System Program,0.33,0.32,0.13,0.52,0.17,0.31,0.02,0.01,0.03,Miami,FL,South Atlantic
University of Michigan Program,0.36,0.53,0,0.34,0.13,0.2,0.04,0,0,Ann Arbor,MI,East North Central
