Program,Silver Signal,Gold Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Baylor College of Medicine Program,0.09,0.37,0,0.26,0.05,0.09,0,0,0,Houston,TX,West South Central
Baylor University Medical Center Program,0.04,0.83,0,0.12,0.02,0.05,0.03,0,0,Dallas,TX,West South Central
Boston University Medical Center Program,0.12,0.56,0,0.61,0.08,0.11,0,0.03,0.07,Boston,MA,New England
Broward Health Program,0.18,0.29,0,0.33,0.07,0.11,0.06,0.12,0,Fort Lauderdale,FL,South Atlantic
Brown University Program,0.16,0.5,0,1,0.11,0.13,0,0.03,0,Providence,RI,New England
Campbell University Program,0.07,0.62,0.01,0.14,0.07,0,0.15,0,0,Clinton,NC,South Atlantic
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,0.17,1,0.01,0.52,0.05,0.08,0.07,0,0,ROANOKE,VA,South Atlantic
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.16,0.35,0.01,0.37,0.08,0.11,0.08,0.03,0,Cleveland,OH,East North Central
Cleveland Clinic Foundation Program,0.15,0.38,0,0.31,0.06,0.09,0.04,0,0.04,Cleveland,OH,East North Central
Cook County Health and Hospitals System Program,0.11,0.26,0.03,0.34,0.08,0.11,0,0.09,0.04,Chicago,IL,East North Central
Cooper Medical School of Rowan University/Cooper University Hospital Program,-,-,-,-,-,-,-,-,-,Camden,NJ,Middle Atlantic
Corewell Health (Farmington Hills) Program,-,-,-,-,-,-,-,-,-,Farmington Hills,MI,East North Central
Corewell Health (Trenton) Program,0.15,0.28,0.02,0.24,0.08,0.01,0.22,0,0,Trenton,MI,East North Central
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,0.17,0.7,0.02,1,0.08,0.1,0,0.03,0,Lebanon,NH,New England
Duke University Hospital Program,0.1,0.56,0,0.5,0.06,0.09,0,0,0,Durham,NC,South Atlantic
Eastern Virginia Medical School Program,-,-,-,-,-,-,-,-,-,Norfolk,VA,South Atlantic
Emory University School of Medicine Program,0.02,0.3,0,0.47,0.03,0.04,0,0.02,0,Atlanta,GA,South Atlantic
Geisinger Health System Program,0.13,0.86,0,0.37,0.06,0.1,0,0,0,Danville,PA,Middle Atlantic
George Washington University School of Medicine Program,0.09,0.18,0,0.29,0.05,0.06,0.02,0.04,0.04,Washington,DC,South Atlantic
Hackensack University Medical Center (Palisades) Program,0.16,0.39,0.03,0.4,0.09,0.08,0.2,0,0,North Bergen,NJ,Middle Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital Program,-,-,-,-,-,-,-,-,-,Largo,FL,South Atlantic
HCA Florida Orange Park Hospital Program,0.14,0.78,0.01,0.11,0.11,0.03,0.28,0,0,Orange Park,FL,South Atlantic
HCA Healthcare Corpus Christi Medical Center - Bay Area Program,-,-,-,-,-,-,-,-,-,McAllen,TX,West South Central
HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,0.12,0.44,0.01,0.14,0.06,0,0.18,0,0,Blacksburg,VA,South Atlantic
HCA Medical City Healthcare UNT-TCU GME (Fort Worth) Program,0.13,0.75,0.01,0.06,0.05,0.01,0.18,0,0,Fort Worth,TX,West South Central
HealthPartners Institute Program,-,-,-,-,-,-,-,-,-,St. Louis Park,MN,West North Central
Henry Ford Health/Henry Ford Hospital Program,0.14,0.63,0,0.65,0.1,0.17,0.01,0,0,Detroit,MI,East North Central
HES/Lake Granbury Medical Center Program,-,-,-,-,-,-,-,-,-,Dallas,TX,West South Central
HonorHealth Program,0.1,0.67,0.09,0.4,0.1,0.13,0.1,0.07,0,Scottsdale,AZ,Mountain
Howard University Program,-,-,-,0.45,0.09,0.12,0.03,0,0.04,Washington,DC,South Atlantic
Icahn School of Medicine at Mount Sinai Program,-,-,-,-,-,-,-,-,-,New York,NY,Middle Atlantic
Indiana University School of Medicine Program,-,-,-,-,-,-,-,-,-,Indianapolis,IN,East North Central
Johns Hopkins University Program,-,-,-,-,-,-,-,-,-,Baltimore,MD,South Atlantic
Kaiser Permanente Southern California (Los Angeles) Program,0.34,0.89,0,0.2,0.14,0.12,0.24,0.35,0.25,Los Angeles,CA,Pacific
Kansas City University GME Consortium (KCU-GME Consortium) Phoenix Program,0.07,0.63,0.01,0.08,0.05,0.02,0.11,0.06,0,Glendale,AZ,Mountain
Kansas City University GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,0.13,0.39,0.01,0.22,0.09,0.03,0.23,0.04,0,Maitland,FL,South Atlantic
Larkin Community Hospital Palm Springs Campus Program,-,-,-,-,-,-,-,-,-,Hialeah,FL,South Atlantic
Larkin Community Hospital Program,-,-,-,-,-,-,-,-,-,South Miami,FL,South Atlantic
Lehigh Valley Health Network Program,0.06,0.67,0.02,0.26,0.04,0.05,0.12,0,0,Allentown,PA,Middle Atlantic
Loma Linda University Health Education Consortium Program,-,-,-,-,-,-,-,-,-,Loma Linda,CA,Pacific
Los Angeles County-Harbor-UCLA Medical Center Program,0.17,0.63,0.01,0.21,0.04,0.08,0,0,0,Torrance,CA,Pacific
Louisiana State University School of Medicine Program,-,-,-,-,-,-,-,-,-,New Orleans,LA,West South Central
Loyola University Medical Center Program,0.1,0.8,0,0.3,0.05,0.08,0,0,0,Maywood,IL,East North Central
Marshfield Clinic Program,0.34,0.56,0,0.58,0.08,0.11,0.1,0.07,0,Marshfield,WI,East North Central
Mass General Brigham/Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp Program,0.11,0.23,0,0.26,0.07,0.09,0,0.04,0,Boston,MA,New England
Mayo Clinic College of Medicine and Science (Jacksonville) Program,0.11,0.35,0,0.19,0.04,0.07,0,0,0,Jacksonville,FL,South Atlantic
Mayo Clinic College of Medicine and Science (Rochester) Program,0.21,0.44,0,0.3,0.11,0.14,0,0.03,0.03,Rochester,MN,West North Central
Mayo Clinic College of Medicine and Science (Scottsdale) Program,0.13,0.56,0.01,0.57,0.05,0.09,0.03,0,0,Scottsdale,AZ,Mountain
McGaw Medical Center of Northwestern University Program,0.18,0.41,0.05,0.26,0.12,0.14,0,0.03,0,Chicago,IL,East North Central
