Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Abrazo Health Network Program,0.6,0.24,0.47,0.28,0.1,0,Goodyear,AZ,Mountain
AdventHealth Florida Program,0.44,0.2,0.28,0.32,0.11,0.02,Orlando,FL,South Atlantic
Advocate Health Care/Advocate Christ Medical Center Program,0.49,0.22,0.53,0.08,0,0,Oak Lawn,IL,East North Central
Akron General Medical Center/NEOMED Program,0.91,0.24,0.56,0.38,0,0,Akron,OH,East North Central
Alameda Health System-Highland Hospital Program,0.31,0.21,0.34,0.04,0,0,Oakland,CA,Pacific
Albany Medical Center Program,0.43,0.24,0.44,0.32,0.06,0.05,Albany,NY,Middle Atlantic
Albert Einstein Healthcare Network Program,0.74,0.33,0.48,0.48,0.14,0,Philadelphia,PA,Middle Atlantic
Albert Einstein Healthcare Network/Einstein Medical Center Montgomery Program,0.63,0.22,0.3,0.48,0.16,0,East Norriton,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium (AGH) Program,0.52,0.32,0.76,0.31,0.03,0.04,Pittsburgh,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium Program,0.54,0.07,0.16,0.23,0.04,0.03,Erie,PA,Middle Atlantic
Arnot Ogden Medical Center Program,0.48,0.25,0.28,0.49,0.23,0.07,Elmira,NY,Middle Atlantic
Arrowhead Regional Medical Center Program,0.63,0.33,0.58,0.48,0.11,0,Colton,CA,Pacific
Ascension Genesys Hospital Program,0.69,0.1,0.28,0.28,0.1,0,Grand Blanc,MI,East North Central
Ascension Illinois/Resurrection Program,0.61,0.28,0.53,0.25,0.12,0,Chicago,IL,East North Central
Ascension Macomb-Oakland Hospital Program,0.75,0.12,0.33,0.29,0.11,0.08,Warren,MI,East North Central
Ascension Providence/MSUCHM Program,0.92,0.14,0.59,0.36,0.1,0.13,Southfiield,MI,East North Central
Ascension St John Hospital Program,0.76,0.27,0.8,0.35,0.14,0.04,Detroit,MI,East North Central
Atlantic Health System/Morristown Medical Center Program,0.88,0.25,0.46,0.39,0.08,0,Morristown,NJ,Middle Atlantic
Aultman Hospital/NEOMED Program,0.92,0.24,0.53,0.6,0.08,0.01,Canton,OH,East North Central
Bayhealth Medical Center Program,-,0.34,0.47,0.37,0.37,0.18,Dover,DE,South Atlantic
Baylor All Saints Medical Center Fort Worth Program,0.63,0.22,0.45,0.33,0.01,0,Fort Worth,TX,West South Central
Baylor College of Medicine Program,0.67,0.12,0.37,0.07,0.02,0.03,Houston,TX,West South Central
Baylor University Medical Center Program,0.58,0.2,0.49,0.16,0.01,0,Dallas,TX,West South Central
Beth Israel Deaconess Medical Center/Harvard Medical School Program,0.81,0.25,0.41,0.01,0,0,Boston,MA,New England
Boston University Medical Center Program,0.84,0.23,0.4,0.06,0.01,0,Boston,MA,New England
Brooklyn Hospital Center Program,0.72,0.22,0.64,0.53,0.13,0.03,Brooklyn,NY,Middle Atlantic
Broward Health Program,0.86,0.24,0.47,0.44,0.13,0.03,Fort Lauderdale,FL,South Atlantic
Brown University Program,1,0.41,0.59,0.22,0.01,0,Providence,RI,New England
Campbell University/Southeastern Regional Medical Center Program,0.78,0.25,0.17,0.43,0.12,0.05,Lumberton,NC,South Atlantic
Cape Fear Valley Health Program,0.8,0.33,0.45,0.43,0.2,0.26,Fayetteville,NC,South Atlantic
Capital Health Regional Medical Center Program,0.76,0.28,0.38,0.48,0.19,0.03,Pennington,NJ,Middle Atlantic
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,0.46,0.24,0.58,0.2,0.01,0,Roanoke,VA,South Atlantic
Carolinas Medical Center Program,0.25,0.12,0.2,0.01,0,0,Charlotte,NC,South Atlantic
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.75,0.22,0.42,0.23,0.04,0,Cleveland,OH,East North Central
Central Iowa Health System (Iowa Methodist/Iowa Lutheran) Program,0.97,0.47,0.86,0.75,0.14,0.02,Des Moines,IA,West North Central
Central Michigan University College of Medicine/CMU Medical Education Partners Program,0.72,0.12,0.44,0.24,0.1,0.04,Saginaw,MI,East North Central
Charleston Area Medical Center/CAMC Institute for Academic Medicine Program,0.93,0.36,0.49,0.5,0.12,0.17,Charleston,WV,South Atlantic
Christiana Care Health Services Program,-,0.24,0.35,0.2,0.02,0,Newark,DE,South Atlantic
CHRISTUS Health/Texas A&M University School of Medicine Program,0.43,0.25,0.3,0.36,0,0,Corpus Christi,TX,West South Central
Conemaugh Memorial Medical Center Program,0.48,0.21,0.27,0.3,0.12,0.25,Johnstown,PA,Middle Atlantic
Cook County Health and Hospitals System Program,0.48,0.19,0.36,0.11,0,0,Chicago,IL,East North Central
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.6,0.21,0.43,0.17,0,0,Camden,NJ,Middle Atlantic
Corewell Health - Grand Rapids/Michigan State University Program,0.52,0.1,0.27,0.19,0.06,0.02,Grand Rapids,MI,East North Central
Corewell Health (Farmington Hills) Program,0.83,0.08,0.28,0.34,0.04,0.01,Farmington Hills,MI,East North Central
Corewell Health (Trenton and Dearborn) Program,0.69,0.29,0.38,0.5,0.25,0.06,Trenton,MI,East North Central
Corewell Health Lakeland Program,0.72,0.38,0.61,0.56,0.16,0,St. Joseph,MI,East North Central
Corewell Health William Beaumont University Hospital Program,0.86,0.35,0.92,0.39,0.04,0.09,Royal Oak,MI,East North Central
Creighton University School of Medicine Program,0.39,0.2,0.4,0.14,0.01,0,Phoenix,AZ,Mountain
Crozer-Chester Medical Center Program,0.95,0.55,0.91,0.84,0.28,0.07,Upland,PA,Middle Atlantic
Darnall Army Medical Center Program,-,-,-,-,-,-,Fort Cavazos,TX,West South Central
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,1,0.26,0.41,0.22,0,0,Lebanon,NH,New England
Denver Health Medical Center Program,0.48,0.29,0.46,0.1,0,0,Denver,CO,Mountain
Desert Regional Medical Center Program,-,-,-,-,-,-,Palm Springs,CA,Pacific
Detroit Medical Center/Wayne State University (Detroit Receiving Hospital) Program,0.72,0.15,0.36,0.24,0.03,0.02,Detroit,MI,East North Central
Detroit Medical Center/Wayne State University (Sinai Grace) Program,0.84,0.28,0.7,0.38,0.06,0.03,Detroit,MI,East North Central
Dignity Health East Valley Program,0.82,0.28,0.44,0.5,0.1,0,Chandler,AZ,Mountain
"Doctors Hospital at Renaissance, Ltd. Program",0.74,0.24,0.71,0.14,0.21,0.24,Edinburg,TX,West South Central
Duke University Hospital Program,0.43,0.12,0.28,0,0.01,0.01,Durham,NC,South Atlantic
Eastern Virginia Medical School Program,0.71,0.3,0.56,0.29,0,0,Norfolk,VA,South Atlantic
ECU Health Medical Center/East Carolina University Program,0.84,0.35,0.55,0.46,0.1,0.1,Greenville,NC,South Atlantic
Eisenhower Medical Center Program,0.54,0.27,0.46,0.35,0.22,0.11,Rancho Mirage,CA,Pacific
Emory University School of Medicine Program,0.63,0.23,0.38,0.12,0.02,0.01,Atlanta,GA,South Atlantic
Florida Atlantic University Charles E. Schmidt College of Medicine Program,0.76,0.23,0.54,0.37,0.02,0,Boynton Beach,FL,South Atlantic
Florida State University College of Medicine Program,-,-,-,-,-,-,Sarasota,FL,South Atlantic
Franciscan Health Olympia Fields Program,0.76,0.26,0.32,0.45,0.25,0.07,Olympia Fields,IL,East North Central
Garden City Hospital Program,0.8,0.31,0.55,0.27,0.49,0.06,Garden City,MI,East North Central
Garnet Health Medical Center Program,0.71,0.32,0.47,0.47,0.35,0,Middletown,NY,Middle Atlantic
Geisinger Health System (Danville) Program,0.81,0.45,0.7,0.66,0.18,0.06,Danville,PA,Middle Atlantic
Geisinger Health System (Wilkes Barre) Program,-,-,-,-,-,-,Wilkes Barre,PA,Middle Atlantic
George Washington University Program,0.75,0.31,0.54,0.23,0,0.02,Washington,DC,South Atlantic
Good Samaritan University Hospital Program,0.73,0.27,0.65,0.6,0.25,0.07,West Islip,NY,Middle Atlantic
Good Samaritan University Hospital/St Joseph Hospital Campus Program,0.75,0.39,0.57,0.75,0.4,0.12,Bethpage,NY,Middle Atlantic
Hackensack University Medical Center Program,0.75,0.22,0.32,0.35,0.15,0.07,Hackensack,NJ,Middle Atlantic
HCA Florida Healthcare/Aventura Hospital Program,0.67,0.32,0.57,0.62,0.15,0,Aventura,FL,South Atlantic
HCA Florida Healthcare/Kendall Hospital Program,0.84,0.39,0.63,0.74,0.25,0.03,Miami,FL,South Atlantic
HCA Florida Healthcare/St. Lucie Hospital Program,0.64,0.36,0.25,0.71,0.08,0,Port St. Lucie,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Brandon Hospital Program,-,-,-,-,-,-,Brandon,FL,South Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Oak Hill Hospital Program,0.35,0.27,0.11,0.34,0.28,0.07,Brooksville,FL,South Atlantic
HCA Florida Healthcare/Westside/Northwest Hospital Program,0.87,0.51,0.6,0.8,0.42,0.07,Plantation,FL,South Atlantic
HCA Florida Orange Park Hospital Program,0.89,0.64,0.76,0.89,0.44,0,Orange Park,FL,South Atlantic
HCA Healthcare LewisGale Medical Center Program,0.61,0.06,0.18,0.22,0.02,0,Salem,VA,South Atlantic
HCA Healthcare Riverside Program,0.8,0.32,0.66,0.57,0.02,0,Riverside,CA,Pacific
HCA Healthcare Sunrise Health GME/MountainView Program,-,-,-,-,-,-,Las Vegas,NV,Mountain
HCA Healthcare/Los Robles Regional Medical Center Program,0.57,0.31,0.53,0.35,0.32,0.09,Thousand Oaks,CA,Pacific
HCA Healthcare/Mercer University School of Medicine/Grand Strand Medical Center Program,0.85,0.41,0.52,0.53,0.14,0,Myrtle Beach,SC,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Trident Medical Center Program,0.84,0.49,0.63,0.63,0.34,0.1,Charleston,SC,South Atlantic
HCA Healthcare/TriStar Nashville/Skyline Medical Center Program,0.63,0.32,0.37,0.45,0.3,0.05,Nashville,TN,East South Central
HCA Houston Healthcare/University of Houston (Kingwood) Program,-,-,-,-,-,-,Kingwood,TX,West South Central
HCA Medical City Healthcare UNT-TCU GME (Arlington) Program,-,-,-,-,-,-,Arlington,TX,West South Central
Health Education Services/Merit Health Wesley Program,0.96,0.36,0.59,0.83,0.29,0.06,Hattiesburg,MS,East South Central
HealthPartners Institute/Regions Hospital Program,0.96,0.24,0.48,0.18,0,0,St Paul,MN,West North Central
Hennepin Healthcare Program,0.96,0.26,0.42,0.22,0.02,0.02,Minneapolis,MN,West North Central
Henry Ford Health/Henry Ford Hospital Program,0.79,0.25,0.67,0.23,0.05,0.03,Detroit,MI,East North Central
Henry Ford Health/Henry Ford Jackson Hospital Program,0.77,0.3,0.51,0.57,0.2,0,Jackson,MI,East North Central
Henry Ford Health/Henry Ford Macomb Hospital Program,0.52,0.17,0.08,0.4,0.1,0.08,Clinton Township,MI,East North Central
Henry Ford Health/Henry Ford Wyandotte Hospital Program,0.67,0.28,0.37,0.41,0.23,0.21,Wyandotte,MI,East North Central
Hospital Episcopal San Lucas/Ponce School of Medicine Program,0.77,0.11,0.55,0,0.17,0,Ponce,PR,South Atlantic
Icahn School of Medicine at Mount Sinai/Morningside/West Program,0.57,0.21,0.5,0.13,0.02,0.02,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,0.37,0.2,0.43,0.06,0.01,0.01,New York,NY,Middle Atlantic
Indiana University School of Medicine Program,1,0.31,0.48,0.24,0.09,0,Indianapolis,IN,East North Central
Inspira Health Network/Inspira Medical Center Mullica Hill Program,1,0.24,0.37,0.46,0.09,0,Mullica Hill,NJ,Middle Atlantic
Inspira Health Network/Inspira Medical Center Vineland Program,0.95,0.56,0.47,0.84,0.48,0.15,Vineland,NJ,Middle Atlantic
Integris Health Program,0.27,0.03,0,0.09,0,0,Oklahoma City,OK,West South Central
Jefferson Health New Jersey Program,0.79,0.4,0.59,0.53,0.28,0.32,Stratford,NJ,Middle Atlantic
Jefferson Health Northeast Program,0.54,0.14,0.2,0.34,0.04,0.01,Philadelphia,PA,Middle Atlantic
John Peter Smith Hospital (Tarrant County Hospital District) Program,0.76,0.36,0.64,0.46,0,0,Fort Worth,TX,West South Central
Johns Hopkins University Program,0.8,0.27,0.49,0.03,0.01,0,Baltimore,MD,South Atlantic
Kaiser Permanente Northern California Program,0.69,0.45,0.62,0.58,0.33,0.08,Modesto,CA,Pacific
