Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Abington Memorial Hospital Program,0.62,0.1,0.6,0.08,0.46,0.26,0,0,Jenkintown,PA,Middle Atlantic
Abrazo Health Network Program,-,-,0.74,0.16,0.43,0.47,0.02,0,Phoenix,AZ,Mountain
AccessHealth Program,0.32,0.07,0.79,0.03,0.25,0.21,0,0,Beckley,WV,South Atlantic
Adena Regional Medical Center Program,0.53,0.32,0.86,0.28,0.59,0.62,0.21,0,Chillicothe,OH,East North Central
AdventHealth Florida (East Orlando) Program,0.38,0.06,0.38,0.09,0,0.18,0,0,Orlando,FL,South Atlantic
AdventHealth Florida (Sebring) Program,0.25,0.07,0.56,0.08,0.19,0.42,0.06,0.03,Sebring,FL,South Atlantic
AdventHealth Florida (Wesley Chapel) Program,0.32,0.13,0.56,0.13,0.54,0.39,0.1,0.07,Wesley Chapel,FL,South Atlantic
AdventHealth Florida (Winter Park) Program,0.11,0.07,0.58,0.06,0.59,0.11,0.05,0.03,Winter Park,FL,South Atlantic
Adventist Health Glendale Program,0.23,0.18,0.43,0.13,0.56,0.23,0.02,0,Glendale,CA,Pacific
Adventist Health Hanford Central Valley Network (Sonora) Program,0.08,0.1,0.24,0.09,0.27,0.25,0.07,0.02,Sonora,CA,Pacific
Adventist Health Hanford Central Valley Network Program,0.08,0.07,0.14,0.07,0.1,0.15,0.07,0.02,Hanford,CA,Pacific
Adventist Health Hanford Central Valley Network/Tulare Program,0.33,0.12,0.28,0.13,0.21,0.23,0.12,0.11,Tulare,CA,Pacific
Adventist Health Ukiah Valley Program,0.39,0.28,0.82,0.18,0.69,0.74,0,0,Ukiah,CA,Pacific
Adventist Health White Memorial Program,0.31,0.18,0.38,0.14,0.47,0.28,0.01,0,Los Angeles,CA,Pacific
Adventist Hinsdale Hospital Program,0.63,0.22,0.69,0.21,0.56,0.39,0.03,0,Hinsdale,IL,East North Central
Adventist LaGrange Memorial Hospital Program,0.52,0.09,0.56,0.09,0.31,0.23,0.04,0,La Grange,IL,East North Central
Advocate Health Care/Advocate Christ Medical Center Program,0.39,0.15,0.66,0.1,0.49,0.27,0.02,0,Oak Lawn,IL,East North Central
Advocate Health Care/Advocate Illinois Masonic Medical Center Program,0.44,0.12,0.49,0.09,0.29,0.17,0,0,Chicago,IL,East North Central
Advocate Health Care/Advocate Lutheran General Hospital Program,0.44,0.21,0.57,0.18,0.53,0.26,0,0,Park Ridge,IL,East North Central
Aiken Regional Medical Centers Program,0.23,0.14,1,0.13,0.53,0.64,0.07,0.1,Aiken,SC,South Atlantic
Akron General Medical Center/NEOMED Program,0.5,0.18,0.71,0.13,0.44,0.34,0.12,0,Akron,OH,East North Central
Albany Medical Center - Saratoga Hospital Program,0.14,0.08,0.4,0.08,0.31,0.31,0.04,0.08,Saratoga Springs,NY,Middle Atlantic
Albany Medical Center Program,0.49,0.13,0.41,0.14,0.5,0.27,0.03,0.04,Albany,NY,Middle Atlantic
Albert Einstein Healthcare Network Program,0.05,0.08,0.51,0.06,0.51,0.34,0.03,0.03,Philadelphia,PA,Middle Atlantic
Albert Einstein Healthcare Network/Einstein Medical Center Montgomery Program,0.26,0.09,0.47,0.08,0.29,0.28,0.07,0.03,Norristown,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium (FH) Program,0.7,0.12,0.45,0.12,0.56,0.23,0.01,0,Monroeville,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium (SVH) Program,0.6,0.1,0.59,0.06,0.32,0.33,0.02,0.03,Erie,PA,Middle Atlantic
Allina Health Program,0.53,0.29,0.88,0.26,0.7,0.31,0.01,0,St Paul,MN,West North Central
AltaMed Health Services Program,0.23,0.15,0.36,0.12,0.47,0.3,0.04,0.03,South Gate,CA,Pacific
Altru Health System (Grand Forks) Program,0.29,0.07,0.9,0.07,0.58,0.41,0.03,0.03,Grand Forks,ND,West North Central
AnMed Health (Anderson) Program,0.87,0.43,0.95,0.41,0.67,0.62,0.16,0,Anderson,SC,South Atlantic
Arkansas College of Osteopathic Medicine/Mercy Program,0.41,0.19,0.94,0.16,0.48,0.71,0.15,0.06,Fort Smith,AR,West South Central
