Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Abington Memorial Hospital Program,0.29,0.07,0.16,0.08,0.05,0.04,Abington,PA,Middle Atlantic
Abrazo Health Network Program,-,-,-,-,-,-,Glendale,AZ,Mountain
AdventHealth Florida (Orlando) Program,0.38,0.09,0.28,0.02,0,0,Orlando,FL,South Atlantic
AdventHealth Florida (Tampa) Program,0.33,0.28,0.36,0.48,0.22,0.21,Tampa,FL,South Atlantic
Advocate Health Care Program,0.35,0.06,0.17,0.12,0.02,0.01,Park Ridge,IL,East North Central
Akron General Medical Center/NEOMED Program,0.52,0.08,0.16,0.15,0,0,Akron,OH,East North Central
Albany Medical Center Program,0.42,0.13,0.33,0.03,0.02,0,Albany,NY,Middle Atlantic
Albert Einstein Healthcare Network Program,0.14,0.02,0.04,0.05,0.02,0.01,Philadelphia,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium (AGH) Program,0.12,0.04,0.11,0.03,0,0.01,Pittsburgh,PA,Middle Atlantic
Anne Arundel Medical Center Program,0.46,0.05,0.11,0.13,0.01,0.01,Annapolis,MD,South Atlantic
Arrowhead Regional Medical Center/Kaiser Permanente (Fontana) Program,0.32,0.09,0.23,0.08,0.04,0,Colton,CA,Pacific
Ascension Genesys Hospital Program,-,-,-,-,-,-,Grand Blanc,MI,East North Central
Ascension Illinois/Saint Joseph (Chicago) Program,0.19,0.08,0.14,0.1,0.01,0,Chicago,IL,East North Central
Ascension Macomb-Oakland Hospital Program,0.21,0.07,0.04,0.15,0.02,0.02,Warren,MI,East North Central
Ascension Providence/MSUCHM Program,0.4,0.05,0.16,0.05,0.05,0.06,Southfield,MI,East North Central
Ascension St John Hospital Program,0.4,0.03,0.18,0,0,0,Detroit,MI,East North Central
Ascension St Vincent Hospital Indianapolis Program,0.36,0.04,0.1,0.05,0.02,0.02,Indianapolis,IN,East North Central
Atlantic Health System/Morristown Medical Center Program,0.54,0.07,0.18,0.09,0.04,0.03,Morristown,NJ,Middle Atlantic
Atrium Health Navicent The Medical Center/Mercer University School of Medicine Program,-,-,-,-,-,-,Macon,GA,South Atlantic
Baptist Memorial Medical Education Program,0.09,0.11,0.15,0.14,0.01,0.02,Memphis,TN,East South Central
Bassett Medical Center Program,0.25,0.07,0.29,0.04,0,0,Cooperstown,NY,Middle Atlantic
BayCare Health System Program,-,-,-,-,-,-,Tampa,FL,South Atlantic
Bayhealth Medical Center Program,-,0.11,0.15,0.17,0.04,0.04,Dover,DE,South Atlantic
Baylor All Saints Medical Center Fort Worth Program,0.21,0.05,0.11,0.1,0,0,Fort Worth,TX,West South Central
Baylor College of Medicine Program,0.16,0.07,0.12,0.02,0.01,0.01,Houston,TX,West South Central
Baylor University Medical Center Program,0.27,0.13,0.23,0.06,0.01,0,Dallas,TX,West South Central
Berkshire Medical Center Program,-,-,-,-,-,-,Pittsfield,MA,New England
Beth Israel Deaconess Medical Center Program,0.23,0.07,0.1,0,0.03,0.06,Boston,MA,New England
Boston University Medical Center Program,0.57,0.07,0.14,0.01,0,0.01,Boston,MA,New England
BronxCare Health System Program,0.16,0.14,0.17,0,0.13,0.17,Bronx,NY,Middle Atlantic
Brooklyn Hospital Center Program,0.11,0.07,0.06,0.1,0.08,0.07,Brooklyn,NY,Middle Atlantic
Brookwood Baptist Health Program,0.79,0.09,0.23,0.16,0,0,Birmingham,AL,East South Central
