Program,Silver Signal,Gold Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Abington Memorial Hospital Program,0.21,0.31,0.06,0.13,0.1,0.18,0.03,0,0,Abington,PA,Middle Atlantic
AdventHealth Florida (Orlando) Program,0.28,0.36,0.02,0.47,0.08,0.19,0.13,0.01,0.01,Orlando,FL,South Atlantic
AdventHealth Florida (Tampa) Program,0.23,0.61,0.04,0.4,0.08,0.15,0.14,0.01,0.03,Tampa,FL,South Atlantic
Adventist Health White Memorial Program,0.3,0.27,0.19,0.49,0.16,0.34,0.04,0,0,Los Angeles,CA,Pacific
Advocate Health Care/Advocate Illinois Masonic Medical Center Program,0.34,0.4,0,0.38,0.05,0.09,0.09,0,0,Chicago,IL,East North Central
Advocate Health Care/Advocate Lutheran General Hospital Program,0.47,0.68,0.01,0.42,0.09,0.15,0.12,0,0,Park Ridge,IL,East North Central
Akron General Medical Center/NEOMED Program,0.45,0.67,0.05,0.35,0.11,0.19,0.12,0,0,Akron,OH,East North Central
Albany Medical Center Program,0.75,0.44,0.01,0.44,0.09,0.23,0.05,0,0,Albany,NY,Middle Atlantic
Albert Einstein Healthcare Network Program,0.23,0.37,0.01,0.11,0.06,0.07,0.09,0,0,Philadelphia,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium (WPH) Program,0.39,0.3,0.01,0.23,0.08,0.14,0.06,0,0.01,Pittsburgh,PA,Middle Atlantic
Anne Arundel Medical Center Program,0.57,0.57,0.09,0.67,0.19,0.29,0.12,0,0,Annapolis,MD,South Atlantic
Arrowhead Regional Medical Center Program,0.6,0.57,0.06,0.47,0.15,0.23,0.24,0.08,0,Colton,CA,Pacific
Ascension Genesys Hospital Program,-,-,-,-,-,-,-,-,-,Grand Blanc,MI,East North Central
Ascension Illinois/Saint Alexius Program,-,-,-,-,-,-,-,-,-,Hoffman Estates,IL,East North Central
Ascension Illinois/Saint Joseph (Chicago) Program,0.59,0.72,0,0.14,0.11,0.08,0.2,0.01,0,Chicago,IL,East North Central
Ascension Macomb-Oakland Hospital Program,0.75,1,0.07,0.56,0.17,0.2,0.24,0.05,0.06,Warren,MI,East North Central
Ascension Providence/MSUCHM Program,0.26,0.29,0.07,0.4,0.09,0.2,0.14,0.05,0,Southfield,MI,East North Central
Ascension St John Hospital Program,0.35,0.63,0.03,0.55,0.04,0.18,0.04,0.05,0,Detroit,MI,East North Central
Ascension St Vincent Hospital Indianapolis Program,0.44,0.67,0.06,0.64,0.12,0.2,0.14,0.02,0.03,Indianapolis,IN,East North Central
Atlantic Health System/Morristown Medical Center Program,0.33,0.62,0.01,0.57,0.08,0.22,0.09,0,0,Morristown,NJ,Middle Atlantic
Atrium Health Navicent The Medical Center/Mercer University School of Medicine Program,0.27,0.56,0.08,0.82,0.08,0.23,0.05,0.03,0,Macon,GA,South Atlantic
Aultman Hospital/NEOMED Program,0.22,0.46,0.18,0.5,0.17,0.34,0.2,0.15,0,Canton,OH,East North Central
Aurora Health Care Program,0.24,0.17,0.12,0.07,0.15,0.18,0.16,0,0,Milwaukee,WI,East North Central
Baptist Memorial Medical Education Program,0.19,0.26,0.18,0.5,0.16,0.42,0.09,0,0,Memphis,TN,East South Central
Baylor All Saints Medical Center Fort Worth Program,0.55,0.59,0.01,0.37,0.1,0.19,0.17,0,0,Fort Worth,TX,West South Central
Baylor College of Medicine Program,0.32,0.51,0.02,0.38,0.11,0.22,0.06,0.06,0.06,Houston,TX,West South Central
