Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Albany Medical Center Program,-,-,-,-,-,-,-,-,Albany,NY,Middle Atlantic
Allegheny Health Network Medical Education Consortium Program,0.39,0.11,0.32,0.16,0.19,0.12,0.21,0.07,Pittsburgh,PA,Middle Atlantic
Ascension Macomb-Oakland Hospital Program,0.44,0.05,0.5,0.18,0.06,0.48,0.11,0,Warren,MI,East North Central
Baylor College of Medicine Program,-,-,-,-,-,-,-,-,Houston,TX,West South Central
Beth Israel Deaconess Medical Center/Harvard Medical School Program,0.39,0,0.76,0.12,0.18,0,0.07,0,Boston,MA,New England
Boston University Medical Center Program,0.34,0,0.63,0.18,0.22,0,0.07,0,Boston,MA,New England
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.32,0.01,0.43,0.12,0.15,0,0.08,0.1,Cleveland,OH,East North Central
Cedars-Sinai Medical Center Program,-,-,-,-,-,-,-,-,Los Angeles,CA,Pacific
Cleveland Clinic Foundation Program,0.46,0,0.28,0.19,0.22,0,0.08,0,Cleveland,OH,East North Central
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.43,0.06,0.64,0.12,0.18,0.05,0,0,Camden,NJ,Middle Atlantic
Corewell Health (Farmington Hills) Program,-,-,-,-,-,-,-,-,Farmington Hills,MI,East North Central
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,0.51,0.02,1,0.11,0.12,0.08,0.08,0.07,Lebanon,NH,New England
Detroit Medical Center Corporation Program,-,-,-,-,-,-,-,-,Detroit,MI,East North Central
Duke University Hospital Program,-,-,-,-,-,-,-,-,Durham,NC,South Atlantic
Eastern Virginia Medical School Program,-,-,-,-,-,-,-,-,Norfolk,VA,South Atlantic
Emory University School of Medicine Program,-,-,-,-,-,-,-,-,Atlanta,GA,South Atlantic
Geisinger Health System Program,0.28,0.1,0.12,0.17,0.17,0.2,0,0,Danville,PA,Middle Atlantic
George Washington University Program,-,-,-,-,-,-,-,-,Washington,DC,South Atlantic
Henry Ford Health/Henry Ford Hospital Program,0.61,0.03,0.67,0.14,0.19,0.1,0.18,0.09,Detroit,MI,East North Central
Henry Ford Health/Henry Ford Macomb Hospital Program,-,-,-,-,-,-,-,-,Clinton Township,MI,East North Central
Icahn School of Medicine at Mount Sinai/New York Eye and Ear Infirmary at Mount Sinai Program,-,-,-,-,-,-,-,-,New York,NY,Middle Atlantic
Indiana University School of Medicine Program,0.38,0.11,1,0.22,0.26,0,0,0,Indianapolis,IN,East North Central
Johns Hopkins University Program,0.28,0,0.71,0.14,0.17,0,0.07,0.05,Baltimore,MD,South Atlantic
Kaiser Permanente Northern California Program,0.49,0,0.55,0.11,0.21,0,0,0,Oakland,CA,Pacific
Kansas City University GME Consortium (KCU-GME Consortium)/Freeman Program,0.26,0.01,0.75,0.07,0,0.27,0.17,0,Joplin,MO,West North Central
Kettering Health Network Program,0.41,0.03,0.14,0.18,0,0.48,0,0,Dayton,OH,East North Central
Kirk Kerkorian School of Medicine at UNLV Program,0.38,0.21,0,0.25,0.29,0,0,0,Las Vegas,NV,Mountain
Lehigh Valley Health Network Program,0.38,0.03,0.21,0.1,0.13,0.15,0,0,Allentown,PA,Middle Atlantic
Loma Linda University Health Education Consortium Program,0.45,0.01,0.37,0.11,0.18,0,0,0,Loma Linda,CA,Pacific
Louisiana State University (Shreveport) Program,0.54,0.26,0.64,0.36,0.49,0,0,0,Shreveport,LA,West South Central
Louisiana State University School of Medicine Program,-,-,-,-,-,-,-,-,New Orleans,LA,West South Central
Loyola University Medical Center Program,-,-,-,-,-,-,-,-,Maywood,IL,East North Central
Madigan Army Medical Center Program,-,-,-,-,-,-,-,-,Tacoma,WA,Pacific
Mass General Brigham/Massachusetts Eye and Ear Infirmary/Harvard Medical School Program,-,-,-,-,-,-,-,-,Boston,MA,New England
Mayo Clinic College of Medicine and Science (Jacksonville) Program,0.28,0.32,0.29,0.31,0.37,0,0,0.07,Jacksonville,FL,South Atlantic
Mayo Clinic College of Medicine and Science (Phoenix) Program,0.33,0.02,0.5,0.12,0.14,0,0,0,Phoenix,AZ,Mountain
Mayo Clinic College of Medicine and Science (Rochester) Program,0.48,0.03,0.63,0.19,0.23,0,0.09,0.08,Rochester,MN,West North Central
McGaw Medical Center of Northwestern University Program,-,-,-,-,-,-,-,-,Chicago,IL,East North Central
McLaren Health Care/Oakland/MSU Program,-,-,-,-,-,-,-,-,Pontiac,MI,East North Central
Medical College of Georgia Program,0.53,0.02,0.64,0.17,0.21,0.12,0.07,0,Augusta,GA,South Atlantic
Medical College of Wisconsin Affiliated Hospitals Program,0.48,0,1,0.16,0.22,0,0,0,Milwaukee,WI,East North Central
Medical University of South Carolina Program,0.3,0.04,0.71,0.16,0.2,0.05,0,0,Charleston,SC,South Atlantic
MedStar Health/Georgetown University Hospital Program,0.13,0,0.2,0.08,0.09,0,0,0,Washington,DC,South Atlantic
Methodist Hospital (Houston) Program,-,-,-,-,-,-,-,-,Houston,TX,West South Central
