Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Advocate Health Care/Advocate Children's Hospital (Oak Lawn) Program,0.81,0.38,0.98,0.36,0.83,0.63,0.04,0.03,Oak Lawn,IL,East North Central
Advocate Health Care/Advocate Children's Hospital (Park Ridge) Program,0.59,0.43,0.98,0.4,0.85,0.7,0.12,0.01,Park Ridge,IL,East North Central
Albany Medical Center Program,0.31,0.18,0.62,0.15,0.52,0.43,0.07,0.02,Albany,NY,Middle Atlantic
Albert Einstein Healthcare Network Program,0.65,0.07,0.25,0.13,0.09,0.13,0.16,0.13,Philadelphia,PA,Middle Atlantic
Ascension St John Hospital Program,0.14,0.09,0.71,0.08,0.35,0.29,0.08,0.05,Detroit,MI,East North Central
Ascension St Vincent Hospital Indianapolis Program,0.5,0.19,0.79,0.18,0.36,0.28,0.09,0.12,Indianapolis,IN,East North Central
Atlantic Health System/Goryeb Children's Hospital Program,0.49,0.17,0.85,0.17,0.44,0.49,0.13,0.03,Morristown,NJ,Middle Atlantic
Atrium Health Navicent The Medical Center/Mercer University School of Medicine Program,0.36,0.14,0.41,0.15,0.21,0.2,0.15,0.01,Macon,GA,South Atlantic
BayCare Health System Program,0.33,0.3,0.72,0.25,0.62,0.48,0,0,Tampa,FL,South Atlantic
Baylor College of Medicine (Houston) Program,0.11,0.05,0.18,0.04,0.11,0.03,0,0.01,Houston,TX,West South Central
Baylor College of Medicine (San Antonio) Program,0.66,0.12,0.45,0.11,0.37,0.14,0.03,0.01,San Antonio,TX,West South Central
Boston Children's Hospital/Boston Medical Center Program,0.47,0.09,0.72,0.18,0.34,0.03,0.01,0.03,Boston,MA,New England
BronxCare Health System Program,0.38,0.15,0.13,0.2,0.03,0.1,0.16,0.23,Bronx,NY,Middle Atlantic
Brooklyn Hospital Center Program,0.28,0.17,0.29,0.18,0.21,0.33,0.31,0.11,Brooklyn,NY,Middle Atlantic
Broward Health Program,0.47,0.28,0.8,0.26,0.49,0.43,0.16,0.07,Fort Lauderdale,FL,South Atlantic
Brown University Program,0.67,0.28,1,0.33,0.52,0.09,0.01,0.01,Providence,RI,New England
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,0.51,0.14,0.68,0.14,0.41,0.27,0.08,0.06,Roanoke,VA,South Atlantic
Carolinas Medical Center Program,0.84,0.27,0.78,0.33,0.55,0.16,0.03,0.01,Charlotte,NC,South Atlantic
Case Western Reserve Univ/Univ Hosps Cleveland Med Ctr/Rainbow Babies and Childrens Hospital Program,0.67,0.34,0.86,0.34,0.74,0.23,0.12,0.06,Cleveland,OH,East North Central
Cedars-Sinai Medical Center Program,0.43,0.32,0.81,0.28,0.9,0.47,0.06,0.01,Los Angeles,CA,Pacific
Central Iowa Health System (Iowa Methodist Medical Center) Program,0.85,0.17,1,0.19,0.42,0.43,0.08,0.02,Des Moines,IA,West North Central
Central Michigan University College of Medicine/CMU Medical Education Partners Program,0.05,0.17,0.71,0.14,0.54,0.13,0.13,0.12,Saginaw,MI,East North Central
Charleston Area Medical Center/CAMC Institute for Academic Medicine Program,0.46,0.14,0.78,0.14,0.6,0.33,0.07,0.09,Charleston,WV,South Atlantic
Children's Hospital Los Angeles Program,-,-,-,-,-,-,-,-,Los Angeles,CA,Pacific
Children's Hospital Medical Center of Akron/NEOMED Program,0.8,0.5,0.94,0.49,0.77,0.78,0,0,Akron,OH,East North Central
Children's Hospital of Michigan Program,0.42,0.16,0.85,0.19,0.39,0.45,0.11,0.11,Detroit,MI,East North Central
Children's Hospital of Philadelphia Program,0.46,0.08,0.3,0.17,0.27,0.06,0.01,0.01,Philadelphia,PA,Middle Atlantic
Children's Mercy Hospital Program,0.79,0.25,0.74,0.3,0.61,0.27,0.02,0.02,Kansas City,MO,West North Central
Children's National Hospital Program,0.52,0.18,0.93,0.24,0.43,0.16,0.03,0.04,Washington,DC,South Atlantic
Cincinnati Children's Hospital Medical Center Program,0.56,0.15,0.51,0.21,0.42,0.06,0.02,0.04,Cincinnati,OH,East North Central
Cleveland Clinic Foundation Program,0.3,0.13,0.97,0.11,0.39,0.19,0.03,0.03,Cleveland,OH,East North Central
Cook County Health and Hospitals System Program,0.43,0.23,0.39,0.24,0.51,0.38,0.24,0.03,Chicago,IL,East North Central
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.38,0.2,0.92,0.19,0.38,0.33,0.28,0.07,Camden,NJ,Middle Atlantic
Corewell Health Helen DeVos Children's Hospital/Michigan State University Program,0.77,0.35,0.85,0.35,0.76,0.61,0.06,0.05,Grand Rapids,MI,East North Central
Corewell Health William Beaumont University Hospital Program,0.4,0.02,0.7,0.05,0.23,0.13,0.03,0.05,Royal Oak,MI,East North Central
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,0.61,0.17,1,0.18,0.57,0.3,0.03,0.02,Lebanon,NH,New England
Detroit Wayne County Health Authority (Authority Health) GME Consortium Program,0.57,0.26,0.83,0.23,0.52,0.51,0.09,0,Detroit,MI,East North Central
Driscoll Children's Hospital/Texas A&M College of Medicine Program,0.36,0.06,0.39,0.08,0.15,0.14,0.07,0.1,Corpus Christi,TX,West South Central
Duke University Hospital Program,-,-,0.8,0.56,0.81,0.36,0.08,0.06,Durham,NC,South Atlantic
East Tennessee State University/Quillen College of Medicine Program,0.71,0.2,0.59,0.21,0.46,0.44,0.06,0.06,Johnson City,TN,East South Central
Eastern Virginia Medical School Program,0.69,0.35,0.84,0.35,0.95,0.38,0.17,0.07,Norfolk,VA,South Atlantic
ECU Health Medical Center/East Carolina University Program,0.62,0.17,0.91,0.17,0.19,0.46,0.05,0.03,Greenville,NC,South Atlantic
"Elson S Floyd College of Medicine, Washington State University Program",0.4,0.24,0.96,0.22,0.59,0.49,0.03,0,Spokane,WA,Pacific
Emory University School of Medicine Program,0.75,0.27,0.67,0.31,0.53,0.11,0,0.01,Atlanta,GA,South Atlantic
Flushing Hospital Medical Center Program,0.13,0.05,0.05,0.05,0.02,0.02,0.05,0.06,Flushing,NY,Middle Atlantic
Full Circle Health (Boise) Program,0.7,0.35,0.62,0.37,0.66,0.5,0.17,0,Boise,ID,Mountain
Geisinger Health System Program,0.46,0.28,0.68,0.25,0.57,0.54,0.17,0.07,Danville,PA,Middle Atlantic
Good Samaritan University Hospital Program,0.36,0.16,0.54,0.14,0.02,0.53,0.06,0.08,West Islip,NY,Middle Atlantic
Hackensack University Medical Center Program,0.19,0.12,0.91,0.09,0.54,0.13,0.03,0,Hackensack,NJ,Middle Atlantic
Harlem Hospital Center Program,0.07,0.11,0.06,0.1,0.07,0,0.06,0.13,New York,NY,Middle Atlantic
HCA Florida Healthcare/Palms West Hospital Program,-,-,-,-,-,-,-,-,Loxahatchee,FL,South Atlantic
HCA Healthcare/Mercer University School of Medicine/Memorial Health University Medical Center Program,0.42,0.23,0.72,0.21,0.41,0.32,0.11,0,Savannah,GA,South Atlantic
Hospital Episcopal San Lucas/Ponce School of Medicine Program,-,-,-,-,-,-,-,-,Ponce,PR,South Atlantic
Hurley Medical Center/Michigan State University Program,0.35,0.16,0.81,0.16,0.71,0.26,0.12,0.14,Flint,MI,East North Central
Icahn School of Medicine at Mount Sinai/Kravis Children's Program,0.54,0.16,0.5,0.19,0.48,0.04,0.01,0.01,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/NYC Health and Hospitals (Elmhurst) Program,0.26,0.05,0,0.09,0,0,0.05,0.13,Elmhurst,NY,Middle Atlantic
Indiana University School of Medicine Program,0.73,0.14,0.87,0.17,0.42,0.21,0.04,0.02,Indianapolis,IN,East North Central
Inova Fairfax Medical Campus/Inova Children's Hospital Program,0.6,0.22,0.59,0.24,0.69,0.2,0.02,0.03,Falls Church,VA,South Atlantic
Jacobi Medical Center/Albert Einstein College of Medicine Program,0.34,0.24,0.74,0.2,0.58,0.75,0.08,0.12,Bronx,NY,Middle Atlantic
Jersey Shore University Medical Center Program,0.45,0.17,0.73,0.16,0.4,0.43,0.15,0.02,Neptune,NJ,Middle Atlantic
Johns Hopkins All Children's Hospital Program,0.43,0.16,0.55,0.15,0.4,0.15,0.08,0.03,St Petersburg,FL,South Atlantic
Johns Hopkins University Program,0.47,0.27,0.8,0.29,0.46,0.01,0,0,Baltimore,MD,South Atlantic
Kaiser Permanente Northern California Program,0.56,0.33,0.54,0.31,0.64,0.11,0,0,Oakland,CA,Pacific
Kaiser Permanente Southern California (Los Angeles) Program,0.74,0.28,0.65,0.26,0.52,0.3,0.07,0,Los Angeles,CA,Pacific
Kirk Kerkorian School of Medicine at UNLV Program,0.71,0.41,1,0.4,0.61,0.61,0.23,0.16,Las Vegas,NV,Mountain
Lehigh Valley Health Network Program,0.67,0.22,0.68,0.19,0.48,0.35,0.06,0,Allentown,PA,Middle Atlantic
Lincoln Medical and Mental Health Center Program,-,-,0.15,0.14,0.15,0.03,0.11,0.16,Bronx,NY,Middle Atlantic
Loma Linda University Health Education Consortium Program,0.77,0.4,0.84,0.39,0.69,0.68,0.18,0.06,Loma Linda,CA,Pacific
Los Angeles County-Harbor-UCLA Medical Center Program,0.71,0.41,0.87,0.38,0.91,0.41,0.18,0.01,Torrance,CA,Pacific
Louisiana State University (Shreveport) Program,0.17,0.08,0.76,0.08,0.24,0.29,0.08,0.05,Shreveport,LA,West South Central
Louisiana State University School of Medicine Program,-,-,-,-,-,-,-,-,New Orleans,LA,West South Central
Loyola University Medical Center Program,0.73,0.16,0.85,0.15,0.37,0.25,0.08,0.02,Maywood,IL,East North Central
Madigan Army Medical Center Program,-,-,-,-,-,-,-,-,Tacoma,WA,Pacific
Maimonides Medical Center/Infants and Children's Hospital of Brooklyn Program,0.3,0.24,0.66,0.22,0.61,0.43,0.36,0.08,Brooklyn,NY,Middle Atlantic
MaineHealth Program,0.59,0.19,0.7,0.21,0.51,0.22,0.03,0.01,Portland,ME,New England
Marshall University School of Medicine Program,0.53,0.08,0.71,0.09,0.44,0.31,0.04,0.02,Huntington,WV,South Atlantic
Marshfield Clinic Program,0.26,0.16,0.25,0.17,0.38,0.35,0.17,0.13,Marshfield,WI,East North Central
Mass General Brigham/Massachusetts General Hospital Program,0.56,0.22,0.84,0.24,0.44,0.09,0.04,0.02,Boston,MA,New England
Mayo Clinic College of Medicine and Science (Rochester) Program,-,-,-,-,-,-,-,-,Rochester,MN,West North Central
McGaw Medical Center of Northwestern University Program,-,-,-,-,-,-,-,-,Chicago,IL,East North Central
Medical College of Georgia Program,0.85,0.44,0.9,0.44,0.75,0.77,0.12,0.05,Augusta,GA,South Atlantic
Medical College of Wisconsin Affiliated Hospitals Program,0.76,0.36,0.95,0.37,0.79,0.31,0.11,0.03,Milwaukee,WI,East North Central
Medical University of South Carolina Program,0.55,0.13,0.56,0.19,0.32,0.13,0.03,0,Charleston,SC,South Atlantic
MedStar Health/Georgetown University Hospital Program,0.44,0.13,0.9,0.15,0.34,0.11,0.06,0.09,Washington,DC,South Atlantic
"Memorial Healthcare System (Hollywood, Florida) Program",0.44,0.11,0.63,0.12,0.49,0.25,0.1,0.07,Hollywood,FL,South Atlantic
Mercy St Vincent Medical Center Program,0.32,0.12,0.43,0.12,0.11,0.09,0.06,0.2,Toledo,OH,East North Central
Montefiore Medical Center/Albert Einstein College of Medicine Program,0.67,0.33,0.83,0.31,0.81,0.39,0.12,0.12,Bronx,NY,Middle Atlantic
Morehouse School of Medicine Program,0.3,0.12,0.75,0.1,0.4,0.12,0.02,0,Atlanta,GA,South Atlantic
Nassau University Medical Center Program,0.07,0.05,0.08,0.05,0.02,0.06,0.07,0.04,East Meadow,NY,Middle Atlantic
National Capital Consortium Program,-,-,-,-,-,-,-,-,Bethesda,MD,South Atlantic
Nationwide Children's Hospital/Ohio State University Program,0.66,0.31,0.81,0.34,0.62,0.24,0.03,0.03,Columbus,OH,East North Central
Naval Medical Center (Portsmouth) Program,-,-,-,-,-,-,-,-,Portsmouth,VA,South Atlantic
Naval Medical Center (San Diego) Program,-,-,-,-,-,-,-,-,San Diego,CA,Pacific
Nemours Children's Hospital Program,0.65,0.34,0.85,0.32,0.89,0.58,0.03,0.05,Orlando,FL,South Atlantic
New York Medical College (Metropolitan) Program,0.19,0.08,0,0.1,0,0.01,0.04,0.14,New York,NY,Middle Atlantic
New York Presbyterian Hospital (Columbia Campus) Program,0.65,0.25,0.56,0.27,0.54,0.01,0,0,New York,NY,Middle Atlantic
