Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Adena Regional Medical Center Program,0.52,0.09,0.13,0.18,0,0,Chillicothe,OH,East North Central
Advocate Health Care/Advocate Lutheran General Hospital Program,0.41,0.02,0.1,0.07,0,0,Park Ridge,IL,East North Central
Akron General Medical Center Program,0.46,0.05,0.17,0.08,0.01,0.03,Akron,OH,East North Central
Albany Medical Center Program,0.22,0.04,0.11,0.06,0.02,0,Albany,NY,Middle Atlantic
Albert Einstein Healthcare Network Program,0.28,0.03,0.04,0.09,0,0.03,Philadelphia,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium (AGH) Program,-,-,-,-,-,-,Pittsburgh,PA,Middle Atlantic
Arnot Ogden Medical Center Program,0.14,0.1,0.16,0.15,0.07,0,Elmira,NY,Middle Atlantic
Arrowhead Regional Medical Center Program,0.27,0.06,0.14,0.1,0.06,0,Colton,CA,Pacific
AtlantiCare Regional Medical Center Program,0.56,0.06,0.19,0.11,0.01,0,Pomona,NJ,Middle Atlantic
Baptist Health - UAMS Program,0.7,0.17,0.44,0.12,0.11,0.08,North Little Rock,AR,West South Central
Baptist Hospitals of Southeast Texas Program,0.53,0.09,0.31,0.14,0.02,0.1,Beaumont,TX,West South Central
BayCare Health System Program,0.59,0.14,0.31,0.23,0.04,0,Lutz,FL,South Atlantic
Baylor College of Medicine Program,0.42,0.05,0.17,0.05,0.02,0.02,Houston,TX,West South Central
Berkshire Medical Center Program,0.24,0.07,0.11,0.09,0,0.07,Pittsfield,MA,New England
Beth Israel Deaconess Medical Center Program,0.39,0.1,0.15,0,0,0,Boston,MA,New England
Billings Clinic Program,-,0.12,0.24,0.24,0.02,0,Billings,MT,Mountain
Boston University Medical Center Program,0.39,0.06,0.11,0.02,0.01,0.02,Boston,MA,New England
Boston VA Healthcare System (Brockton-West Roxbury)/Harvard Medical School Program,0.29,0.14,0.2,0.13,0.05,0,Brockton,MA,New England
BronxCare Health System Program,-,-,-,-,-,-,Bronx,NY,Middle Atlantic
Broward Health Program,0.52,0.04,0.15,0.09,0.02,0,Fort Lauderdale,FL,South Atlantic
Butler Hospital/Brown University Program,0.45,0.11,0.16,0.01,0,0.01,Providence,RI,New England
California Pacific Medical Center Program,0.19,0.06,0.13,0.01,0,0,San Francisco,CA,Pacific
Cambridge Health Alliance Program,0.33,0.08,0.12,0,0.01,0,Cambridge,MA,New England
Cape Fear Valley Health Program,0.57,0.12,0.16,0.19,0.03,0.04,Fayetteville,NC,South Atlantic
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,0.37,0.05,0.11,0.08,0.03,0.04,Roanoke,VA,South Atlantic
Carle Foundation Hospital Program,0.23,0.04,0.13,0.07,0.03,0,Champaign,IL,East North Central
Carolinas Medical Center Program,0.38,0.04,0.08,0.05,0.02,0.02,Charlotte,NC,South Atlantic
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.43,0.08,0.18,0.08,0.02,0.01,Cleveland,OH,East North Central
Centerstone Program,0.12,0.06,0.04,0.12,0.02,0.03,Bradenton,FL,South Atlantic
Central Michigan University College of Medicine/CMU Medical Education Partners Program,0.7,0.08,0.26,0.12,0.07,0.06,Saginaw,MI,East North Central
"Charles R Drew University of Medicine and Science, College of Medicine Program",0.19,0.06,0.14,0.03,0.02,0.04,Los Angeles,CA,Pacific
Charleston Area Medical Center/CAMC Institute for Academic Medicine Program,0.85,0.05,0.14,0.12,0.03,0.02,Charleston,WV,South Atlantic
Chicago Medical School/Rosalind Franklin University of Medicine & Science Program,0.48,0.04,0.1,0.07,0.03,0.03,North Chicago,IL,East North Central
Christiana Care Health Services Inc Program,-,0.12,0.17,0.15,0.05,0.08,Wilmington,DE,South Atlantic
"Citrus Health Network, Inc. Program",0.14,0.06,0.08,0.01,0.1,0.05,Hialeah,FL,South Atlantic
Cleveland Clinic Foundation Program,0.38,0.08,0.15,0.08,0.02,0.04,Cleveland,OH,East North Central
College Medical Center Program,-,-,-,-,-,-,Long Beach,CA,Pacific
"Community Health Network, Inc. Program",0.77,0.07,0.15,0.12,0.02,0,Indianapolis,IN,East North Central
"Community Health of South Florida, Inc. (CHI) Program",0.11,0.04,0.02,0.04,0.08,0,Miami,FL,South Atlantic
Community Memorial Health System Program,0.12,0.05,0.09,0.07,0.03,0,Ventura,CA,Pacific
Cone Health Program,0.75,0.05,0.24,0.03,0.01,0.01,Greensboro,NC,South Atlantic
Connecticut Institute For Communities Health Program,0.33,0.07,0.08,0.03,0.1,0.09,Danbury,CT,New England
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.39,0.05,0.13,0.07,0.03,0.01,Camden,NJ,Middle Atlantic
Corewell Health (Dearborn) Program,0.54,0.02,0.15,0.04,0.03,0.02,Dearborn,MI,East North Central
Creedmoor Psychiatric Center Program,-,-,-,-,-,-,Queens Village,NY,Middle Atlantic
Creighton University School of Medicine (Omaha) Program,0.85,0.2,0.42,0.17,0.04,0.07,Omaha,NE,West North Central
Creighton University School of Medicine Program,0.71,0.02,0.11,0.07,0,0,Mesa,AZ,Mountain
Crozer-Chester Medical Center Program,0.43,0.13,0.3,0.23,0.02,0,Upland,PA,Middle Atlantic
Darnall Army Medical Center Program,-,-,-,-,-,-,Fort Cavazos,TX,West South Central
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,1,0.15,0.21,0.03,0,0.03,Lebanon,NH,New England
Delaware Division of Substance Abuse and Mental Health Program,-,-,-,-,-,-,New Castle,DE,South Atlantic
Detroit Medical Center/Wayne State University Program,0.84,0.1,0.26,0.12,0.04,0.06,Detroit,MI,East North Central
Detroit Wayne County Health Authority (Authority Health) GME Consortium Program,0.62,0.05,0.2,0.09,0.02,0,Detroit,MI,East North Central
Duke University Hospital Program,0.28,0.08,0.13,0,0.02,0.02,Durham,NC,South Atlantic
East Alabama Medical Center Program,-,-,-,-,-,-,Opelika,AL,East South Central
