State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.42,0.83,0.05,0.1,0.37,0.73
AR,0.6,0.6,0.09,0.09,0.51,0.51
AZ,0.71,0.71,0.05,0.05,0.66,0.66
CA,0.5,4.04,0.09,0.74,0.41,3.3
CO,1.0,2.0,0.13,0.26,0.87,1.74
CT,0.25,0.5,0.13,0.26,0.12,0.24
DC,1.0,3.0,0.16,0.48,0.84,2.52
FL,0.55,3.3,0.07,0.41,0.48,2.89
GA,,0.0,,0.0,,0.0
HI,1.0,1.0,0.08,0.08,0.92,0.92
IA,,0.0,,0.0,,0.0
IL,0.68,4.11,0.1,0.57,0.59,3.54
IN,1.0,1.0,0.1,0.1,0.9,0.9
KS,0.67,0.67,0.09,0.09,0.58,0.58
KY,0.82,1.64,0.12,0.23,0.7,1.41
LA,0.59,1.77,0.09,0.27,0.5,1.5
MA,0.6,2.99,0.11,0.56,0.49,2.43
MD,1.0,2.0,0.18,0.37,0.82,1.63
MI,0.58,2.34,0.08,0.31,0.51,2.03
MN,0.62,1.25,0.13,0.26,0.5,0.99
MO,0.6,0.6,0.04,0.04,0.56,0.56
MS,1.0,1.0,0.19,0.19,0.81,0.81
NC,0.49,1.46,0.14,0.42,0.35,1.04
NE,1.0,2.0,0.1,0.21,0.9,1.79
NH,,0.0,0.1,0.1,,-0.1
NJ,0.69,1.38,0.11,0.22,0.58,1.16
NM,0.6,0.6,0.12,0.12,0.48,0.48
NY,0.47,5.66,0.1,1.23,0.37,4.43
OH,0.36,2.15,0.11,0.64,0.25,1.51
OK,1.0,1.0,0.06,0.06,0.94,0.94
OR,1.0,1.0,0.07,0.07,0.93,0.93
PA,0.58,2.91,0.08,0.38,0.51,2.53
PR,0.78,0.78,0.06,0.06,0.72,0.72
RI,,0.0,0.11,0.11,,-0.11
SC,0.71,0.71,0.13,0.13,0.58,0.58
SD,,0.0,0.12,0.12,,-0.12
TN,0.53,2.11,0.11,0.43,0.42,1.68
TX,0.75,5.28,0.11,0.79,0.64,4.49
UT,1.0,1.0,0.18,0.18,0.82,0.82
VA,0.67,1.34,0.13,0.26,0.54,1.08
VT,1.0,1.0,0.18,0.18,0.82,0.82
WA,1.0,1.0,0.16,0.16,0.84,0.84
WI,0.67,0.67,0.11,0.11,0.56,0.56
WV,,0.0,,0.0,,0.0
