State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.63,0.63,0.16,0.16,0.47,0.47
AR,0.96,0.96,0.26,0.26,0.7,0.7
AZ,0.42,0.83,0.07,0.14,0.34,0.69
CA,0.4,5.96,0.14,2.09,0.26,3.87
CO,0.46,0.92,0.06,0.13,0.39,0.79
CT,0.55,1.1,0.12,0.23,0.44,0.87
DC,0.26,0.52,0.06,0.13,0.2,0.39
FL,0.33,3.33,0.06,0.62,0.27,2.71
GA,0.52,1.03,0.07,0.14,0.44,0.89
IA,0.83,0.83,0.12,0.12,0.71,0.71
IL,0.36,2.9,0.09,0.7,0.27,2.2
IN,0.91,0.91,0.06,0.06,0.85,0.85
KS,0.96,1.92,0.08,0.17,0.88,1.75
KY,0.7,1.4,0.12,0.23,0.58,1.17
LA,0.61,2.43,0.08,0.3,0.53,2.13
MA,0.6,5.39,0.11,0.97,0.49,4.42
MD,0.73,1.46,0.16,0.31,0.57,1.15
ME,0.67,0.67,0.08,0.08,0.59,0.59
MI,0.45,2.71,0.06,0.39,0.39,2.32
MN,0.48,0.48,0.12,0.12,0.36,0.36
MO,0.36,1.08,0.07,0.22,0.29,0.86
MS,0.67,0.67,0.08,0.08,0.59,0.59
NC,0.5,1.51,0.08,0.23,0.43,1.28
NE,0.79,0.79,0.13,0.13,0.66,0.66
NH,0.88,0.88,0.09,0.09,0.79,0.79
NJ,0.62,3.12,0.07,0.33,0.56,2.79
NM,0.64,0.64,0.07,0.07,0.57,0.57
NV,,0.0,,0.0,,0.0
NY,0.36,5.77,0.12,1.93,0.24,3.84
OH,0.42,3.79,0.07,0.64,0.35,3.15
OK,0.96,0.96,0.1,0.1,0.86,0.86
OR,0.95,0.95,0.11,0.11,0.84,0.84
PA,0.34,3.36,0.08,0.85,0.25,2.51
PR,,0.0,,0.0,,0.0
RI,1.0,1.0,0.35,0.35,0.65,0.65
SC,0.7,1.39,0.08,0.15,0.62,1.24
TN,0.42,1.26,0.09,0.28,0.33,0.98
TX,0.49,4.38,0.06,0.54,0.43,3.84
UT,1.0,1.0,0.11,0.11,0.89,0.89
VA,0.56,1.12,0.08,0.17,0.48,0.95
VT,1.0,1.0,0.08,0.08,0.92,0.92
WA,0.64,1.27,0.09,0.18,0.55,1.09
WI,0.66,1.31,0.08,0.16,0.58,1.15
WV,0.81,0.81,0.07,0.07,0.74,0.74
