Program,Silver Signal,Gold Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,1.0,1.0,0.02,0.96,0.26,0.23,0.17,0.42,0.39,Little Rock,AR,West South Central
Brown University/Rhode Island Hospital-Lifespan Program,0.78,0.88,0.2,1.0,0.35,0.47,0.14,0.07,0.07,Providence,RI,New England
NYU Grossman School of Medicine Program,0.73,0.87,0.25,0.78,0.41,0.58,0.37,0.14,0.01,New York,NY,Middle Atlantic
Lahey Clinic Program,0.72,0.68,0.16,0.84,0.22,0.33,0.11,0.09,0.17,Burlington,MA,New England
University of Maryland Program,0.71,0.64,0.06,0.86,0.2,0.27,0.08,0.01,0.01,Baltimore,MD,South Atlantic
University of Tennessee Medical Center at Knoxville Program,0.68,0.83,0.0,0.47,0.13,0.21,0.07,0.0,0.0,Knoxville,TN,East South Central
Geisinger Health System Program,0.67,0.67,0.05,0.26,0.08,0.12,0.12,0.04,0.06,Danville,PA,Middle Atlantic
University of Texas Health Science Center at Tyler Program,0.63,0.62,0.01,0.39,0.06,0.11,0.15,0.01,0.02,Tyler,TX,West South Central
University of Nebraska Medical Center College of Medicine Program,0.59,0.74,0.01,0.79,0.13,0.22,0.11,0.0,0.02,Omaha,NE,West North Central
New York Presbyterian Hospital (Columbia Campus) Program,0.58,0.74,0.09,0.47,0.25,0.37,0.01,0.02,0.01,New York,NY,Middle Atlantic
