State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,1.0,1.0,0.41,0.41,0.59,0.59
AR,1.0,1.0,0.15,0.15,0.85,0.85
AZ,1.0,1.0,0.43,0.43,0.57,0.57
CA,0.72,4.32,0.31,1.88,0.41,2.44
CO,1.0,1.0,0.27,0.27,0.73,0.73
CT,1.0,1.0,0.32,0.32,0.68,0.68
DC,0.8,0.8,0.27,0.27,0.53,0.53
DE,,0.0,0.5,0.5,,-0.5
FL,0.75,2.25,0.3,0.9,0.45,1.35
GA,1.0,1.0,0.3,0.3,0.7,0.7
IA,1.0,1.0,0.31,0.31,0.69,0.69
IL,0.88,1.75,0.26,0.53,0.61,1.22
IN,1.0,1.0,0.44,0.44,0.56,0.56
KY,1.0,2.0,0.45,0.9,0.55,1.1
LA,,0.0,,0.0,,0.0
MA,0.6,1.8,0.19,0.58,0.41,1.22
MD,1.0,1.0,0.25,0.25,0.75,0.75
MI,0.94,2.83,0.44,1.32,0.5,1.51
MN,,0.0,,0.0,,0.0
MO,0.75,1.5,0.55,1.1,0.2,0.4
MS,,0.0,,0.0,,0.0
NC,1.0,3.0,0.36,1.09,0.64,1.91
NJ,0.88,1.75,0.22,0.45,0.65,1.3
NM,1.0,1.0,0.52,0.52,0.48,0.48
NY,0.71,4.99,0.27,1.86,0.45,3.13
OH,0.8,3.18,0.29,1.15,0.51,2.03
OR,1.0,1.0,0.49,0.49,0.51,0.51
PA,0.72,1.45,0.39,0.78,0.34,0.67
PR,,0.0,,0.0,,0.0
SC,1.0,1.0,0.48,0.48,0.52,0.52
TN,1.0,1.0,0.44,0.44,0.56,0.56
TX,0.66,2.64,0.39,1.57,0.27,1.07
UT,1.0,1.0,0.28,0.28,0.72,0.72
VA,0.72,1.43,0.32,0.65,0.39,0.78
WA,1.0,1.0,0.34,0.34,0.66,0.66
WI,1.0,1.0,0.48,0.48,0.52,0.52
