State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.57,0.57,0.08,0.08,0.49,0.49
AR,0.14,0.14,0.09,0.09,0.05,0.05
AZ,0.36,1.45,0.07,0.27,0.3,1.18
CA,0.24,1.65,0.07,0.52,0.16,1.13
CO,,0.0,,0.0,,0.0
CT,0.56,0.56,0.12,0.12,0.44,0.44
DC,0.37,0.74,0.07,0.14,0.3,0.6
FL,0.24,1.42,0.07,0.41,0.17,1.01
GA,0.38,0.76,0.03,0.06,0.35,0.7
IA,0.5,0.5,0.17,0.17,0.33,0.33
IL,0.34,2.01,0.08,0.49,0.25,1.52
IN,,0.0,,0.0,,0.0
KS,0.86,0.86,0.11,0.11,0.75,0.75
KY,0.56,0.56,0.04,0.04,0.52,0.52
LA,0.73,0.73,0.07,0.07,0.66,0.66
MA,0.44,0.87,0.08,0.15,0.36,0.72
MD,,0.0,,0.0,,0.0
MI,0.43,1.71,0.08,0.32,0.35,1.39
MN,0.65,1.3,0.08,0.17,0.57,1.13
MO,0.36,1.43,0.1,0.41,0.26,1.02
MS,,0.0,,0.0,,0.0
NC,0.41,1.64,0.06,0.24,0.35,1.4
NE,0.75,0.75,0.11,0.11,0.64,0.64
NH,1.0,1.0,0.08,0.08,0.92,0.92
NJ,0.5,1.01,0.06,0.11,0.45,0.9
NM,1.0,1.0,0.08,0.08,0.92,0.92
NY,0.21,1.26,0.08,0.45,0.14,0.81
OH,0.33,1.96,0.07,0.4,0.26,1.56
OK,1.0,1.0,0.08,0.08,0.92,0.92
OR,0.38,0.75,0.06,0.13,0.31,0.62
PA,0.37,2.58,0.07,0.5,0.3,2.08
PR,,0.0,,0.0,,0.0
RI,1.0,1.0,0.11,0.11,0.89,0.89
SC,,0.0,,0.0,,0.0
TN,0.32,0.63,0.08,0.16,0.24,0.47
TX,0.28,2.83,0.04,0.38,0.25,2.45
UT,1.0,1.0,0.08,0.08,0.92,0.92
VA,0.42,1.27,0.05,0.16,0.37,1.11
VT,1.0,1.0,0.04,0.04,0.96,0.96
WA,1.0,1.0,0.06,0.06,0.94,0.94
WI,0.76,2.27,0.1,0.29,0.66,1.98
WV,0.89,0.89,0.1,0.1,0.79,0.79
