State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.7,2.09,0.16,0.48,0.54,1.61
AR,,0.0,,0.0,,0.0
AZ,0.47,1.4,0.1,0.29,0.37,1.11
CA,0.34,4.76,0.1,1.36,0.24,3.4
CO,0.82,0.82,0.1,0.1,0.72,0.72
CT,0.43,2.17,0.13,0.64,0.31,1.53
DC,0.48,0.96,0.1,0.2,0.38,0.76
DE,,0.0,0.11,0.11,,-0.11
FL,0.34,3.05,0.07,0.62,0.27,2.43
GA,0.64,1.92,0.12,0.37,0.52,1.55
HI,0.75,0.75,0.05,0.05,0.7,0.7
IA,0.7,0.7,0.14,0.14,0.56,0.56
IL,0.33,2.98,0.08,0.71,0.25,2.27
IN,0.85,0.85,0.09,0.09,0.76,0.76
KS,0.64,0.64,0.11,0.11,0.53,0.53
KY,0.84,1.68,0.11,0.21,0.74,1.47
LA,0.84,3.35,0.09,0.35,0.75,3.0
MA,0.46,3.68,0.12,0.93,0.34,2.75
MD,0.8,1.6,0.12,0.23,0.68,1.37
ME,0.25,0.25,0.07,0.07,0.18,0.18
MI,0.53,4.27,0.06,0.48,0.47,3.79
MN,0.88,1.75,0.15,0.29,0.73,1.46
MO,0.48,1.9,0.14,0.54,0.34,1.36
MS,1.0,1.0,0.13,0.13,0.87,0.87
NC,0.74,1.48,0.14,0.27,0.6,1.21
NE,0.65,0.65,0.05,0.05,0.6,0.6
NH,0.67,0.67,0.09,0.09,0.58,0.58
NJ,0.72,2.86,0.1,0.42,0.61,2.44
NM,1.0,1.0,0.12,0.12,0.88,0.88
NV,,0.0,,0.0,,0.0
NY,0.35,7.71,0.09,2.06,0.26,5.65
OH,0.48,3.8,0.07,0.59,0.4,3.21
OK,0.97,1.94,0.1,0.19,0.88,1.75
OR,1.0,1.0,0.08,0.08,0.92,0.92
PA,0.28,2.78,0.07,0.7,0.21,2.08
PR,0.52,0.52,0.0,0.0,0.52,0.52
RI,1.0,1.0,0.12,0.12,0.88,0.88
SC,0.71,0.71,0.19,0.19,0.52,0.52
TN,0.56,1.68,0.1,0.29,0.46,1.39
TX,0.49,4.93,0.06,0.6,0.43,4.33
UT,1.0,1.0,0.12,0.12,0.88,0.88
VA,0.47,1.41,0.08,0.24,0.39,1.17
VT,1.0,1.0,0.1,0.1,0.9,0.9
WA,0.56,0.56,0.06,0.06,0.5,0.5
WI,0.74,2.22,0.15,0.46,0.59,1.76
WV,1.0,1.0,0.05,0.05,0.95,0.95
