State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.54,1.07,0.36,0.71,0.18,0.36
AR,0.44,0.87,0.33,0.66,0.1,0.21
AZ,0.46,2.79,0.18,1.08,0.29,1.71
CA,0.53,12.21,0.26,5.93,0.27,6.28
CO,0.48,0.48,0.29,0.29,0.19,0.19
CT,0.72,1.43,0.32,0.65,0.39,0.78
DC,0.52,1.03,0.24,0.48,0.28,0.55
DE,,0.0,0.29,0.58,,-0.58
FL,0.64,12.78,0.31,6.26,0.33,6.52
GA,0.75,3.77,0.29,1.44,0.47,2.33
IA,0.88,1.75,0.33,0.66,0.55,1.09
IL,0.53,4.74,0.24,2.12,0.29,2.62
IN,1.0,1.0,0.31,0.31,0.69,0.69
KS,1.0,1.0,0.22,0.22,0.78,0.78
KY,0.81,1.62,0.19,0.38,0.62,1.24
LA,0.8,3.22,0.34,1.37,0.46,1.85
MA,0.78,3.89,0.23,1.16,0.55,2.73
MD,0.86,1.72,0.22,0.43,0.64,1.29
ME,0.24,0.24,0.25,0.25,-0.01,-0.01
MI,0.73,17.55,0.23,5.55,0.5,12.0
MN,0.91,2.72,0.24,0.71,0.67,2.01
MO,0.58,2.88,0.23,1.17,0.34,1.71
MS,0.83,2.49,0.34,1.01,0.49,1.48
NC,0.6,4.23,0.21,1.44,0.4,2.79
NE,0.92,0.92,0.52,0.52,0.4,0.4
NH,1.0,1.0,0.26,0.26,0.74,0.74
NJ,0.8,9.6,0.26,3.08,0.54,6.52
NM,0.43,0.43,0.21,0.21,0.22,0.22
NV,0.53,1.07,0.24,0.47,0.3,0.6
NY,0.64,19.74,0.28,8.53,0.36,11.21
OH,0.72,12.29,0.28,4.7,0.45,7.59
OK,0.66,2.64,0.15,0.58,0.52,2.06
OR,0.93,0.93,0.24,0.24,0.69,0.69
PA,0.65,13.08,0.3,5.99,0.35,7.09
PR,0.77,0.77,0.11,0.11,0.66,0.66
RI,1.0,2.0,0.48,0.96,0.52,1.04
SC,0.72,3.58,0.31,1.55,0.41,2.03
TN,0.55,2.21,0.23,0.93,0.32,1.28
TX,0.58,8.12,0.22,3.05,0.36,5.07
UT,1.0,1.0,0.25,0.25,0.75,0.75
VA,0.61,3.03,0.19,0.94,0.42,2.09
VT,1.0,1.0,0.17,0.17,0.83,0.83
WA,0.73,0.73,0.27,0.27,0.46,0.46
WI,0.93,1.86,0.27,0.54,0.66,1.32
WV,0.9,1.79,0.41,0.82,0.48,0.97
