State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AK,,0.0,0.38,0.38,,-0.38
AL,0.77,8.5,0.16,1.81,0.61,6.69
AR,0.88,12.39,0.17,2.32,0.72,10.07
AZ,0.56,6.13,0.15,1.69,0.4,4.44
CA,0.38,27.27,0.16,11.38,0.22,15.89
CO,0.55,7.21,0.25,3.29,0.3,3.92
CT,0.75,3.74,0.19,0.97,0.55,2.77
DC,,0.0,,0.0,,0.0
DE,,0.0,0.2,0.82,,-0.82
FL,0.45,14.08,0.1,3.2,0.35,10.88
GA,0.61,9.1,0.14,2.16,0.46,6.94
HI,1.0,1.0,0.09,0.09,0.91,0.91
IA,0.82,6.6,0.17,1.39,0.65,5.21
ID,0.5,3.52,0.3,2.07,0.21,1.45
IL,0.52,16.58,0.13,4.13,0.39,12.45
IN,0.79,11.91,0.22,3.28,0.58,8.63
KS,0.87,3.49,0.24,0.95,0.64,2.54
KY,0.7,4.9,0.14,1.0,0.56,3.9
LA,0.81,9.75,0.13,1.57,0.68,8.18
MA,0.8,3.99,0.22,1.12,0.57,2.87
MD,0.68,2.74,0.16,0.65,0.52,2.09
ME,0.8,3.19,0.18,0.74,0.61,2.45
MI,0.56,20.87,0.1,3.8,0.46,17.07
MN,0.83,9.13,0.17,1.86,0.66,7.27
MO,0.68,6.13,0.22,1.97,0.46,4.16
MS,0.83,5.81,0.22,1.53,0.61,4.28
MT,,0.0,0.35,0.7,,-0.7
NC,0.68,12.29,0.2,3.65,0.48,8.64
ND,0.61,3.67,0.08,0.5,0.53,3.17
NE,0.98,3.92,0.13,0.53,0.85,3.39
NH,1.0,2.0,0.16,0.47,0.84,1.53
NJ,0.66,13.83,0.14,2.9,0.52,10.93
NM,0.74,4.46,0.15,0.91,0.59,3.55
NV,0.82,4.94,0.13,0.78,0.69,4.16
NY,0.36,12.52,0.09,3.3,0.26,9.22
OH,0.79,26.91,0.17,5.73,0.62,21.18
OK,0.85,8.49,0.26,2.63,0.59,5.86
OR,0.68,6.14,0.21,1.89,0.47,4.25
PA,0.5,24.45,0.13,6.42,0.37,18.03
PR,0.37,1.11,0.11,0.33,0.26,0.78
RI,1.0,1.0,0.34,0.34,0.66,0.66
SC,0.84,12.58,0.26,3.84,0.58,8.74
SD,0.77,2.3,0.28,0.83,0.49,1.47
TN,0.6,7.24,0.23,2.74,0.38,4.5
TX,0.55,19.34,0.12,4.16,0.44,15.18
UT,1.0,3.0,0.25,0.76,0.75,2.24
VA,0.65,9.68,0.16,2.46,0.48,7.22
VT,1.0,1.0,0.26,0.26,0.74,0.74
WA,0.58,14.61,0.26,6.51,0.32,8.1
WI,0.76,14.37,0.26,4.89,0.5,9.48
WV,0.75,4.48,0.14,0.85,0.6,3.63
WY,,0.0,0.29,0.58,,-0.58
