Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
OhioHealth/O'Bleness Hospital Program,1.0,0.29,0.75,0.26,0.19,0.51,0.01,0.0,Athens,OH,East North Central
Conway Regional Health System Program,0.94,0.3,0.93,0.25,0.68,0.63,0.14,0.0,Conway,AR,West South Central
Crozer-Chester Medical Center Program,0.92,0.3,0.79,0.23,0.54,0.51,0.0,0.0,Springfield,PA,Middle Atlantic
Munson Medical Center Program,0.92,0.23,0.61,0.23,0.5,0.4,0.1,0.0,Traverse City,MI,East North Central
"Osteopathic Medical Education Consortium of Oklahoma, Inc. (OMECO)/Oklahoma State University Program",0.92,0.72,0.97,0.72,0.19,0.91,0.0,0.0,Tulsa,OK,West South Central
United Hospital Center Program,0.92,0.37,0.88,0.35,0.56,0.65,0.24,0.06,Bridgeport,WV,South Atlantic
Osteopathic Medical Education Consortium of Oklahoma (OMECO/Chickasaw Nation Medical Center) Program,0.91,0.4,0.86,0.34,0.42,0.62,0.03,0.0,Ada,OK,West South Central
ProHealth Waukesha Memorial Hospital Program,0.91,0.31,0.91,0.34,0.76,0.39,0.03,0.0,Waukesha,WI,East North Central
Oregon Health & Science University (OHSU Health) (Cascades East) Program,0.89,0.25,1.0,0.35,0.69,0.4,0.01,0.02,Klamath Falls,OR,Pacific
Tidelands Health Program,0.89,0.37,1.0,0.37,0.84,0.63,0.09,0.0,Myrtle Beach,SC,South Atlantic
