State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.5,1.49,0.09,0.27,0.41,1.22
AR,,0.0,,0.0,,0.0
AZ,0.28,1.94,0.08,0.57,0.2,1.37
CA,0.23,4.97,0.08,1.82,0.14,3.15
CO,0.43,1.3,0.08,0.24,0.35,1.06
CT,0.48,2.9,0.07,0.42,0.41,2.48
DC,0.5,1.5,0.07,0.22,0.43,1.28
DE,,0.0,0.11,0.21,,-0.21
FL,0.32,7.28,0.08,1.87,0.24,5.41
GA,0.49,2.92,0.06,0.39,0.42,2.53
HI,0.89,0.89,0.07,0.07,0.82,0.82
IA,0.46,1.39,0.08,0.23,0.39,1.16
IL,0.26,3.15,0.06,0.78,0.2,2.37
IN,0.56,1.69,0.07,0.22,0.49,1.47
KS,0.71,2.13,0.1,0.3,0.61,1.83
KY,0.59,1.78,0.08,0.25,0.51,1.53
LA,0.61,3.03,0.08,0.4,0.53,2.63
MA,0.36,3.2,0.07,0.62,0.29,2.58
MD,0.25,1.24,0.05,0.27,0.19,0.97
ME,0.29,0.29,0.07,0.07,0.22,0.22
MI,0.32,6.33,0.06,1.24,0.25,5.09
MN,0.56,1.69,0.09,0.28,0.47,1.41
MO,0.34,1.35,0.08,0.31,0.26,1.04
MS,,0.0,,0.0,,0.0
NC,0.4,3.2,0.06,0.44,0.34,2.76
ND,,0.0,,0.0,,0.0
NE,0.82,0.82,0.21,0.21,0.61,0.61
NH,0.41,0.41,0.06,0.06,0.35,0.35
NJ,0.36,3.94,0.07,0.8,0.29,3.14
NM,0.55,0.55,0.09,0.09,0.46,0.46
NV,0.93,0.93,0.12,0.12,0.81,0.81
NY,0.26,8.04,0.08,2.52,0.18,5.52
OH,0.34,5.51,0.07,1.15,0.27,4.36
OK,0.43,0.43,0.08,0.08,0.35,0.35
OR,0.25,0.5,0.06,0.12,0.19,0.38
PA,0.24,4.59,0.06,1.19,0.18,3.4
PR,,0.0,,0.0,,0.0
RI,0.67,0.67,0.1,0.1,0.57,0.57
SC,0.37,1.86,0.06,0.28,0.32,1.58
SD,0.75,0.75,0.13,0.13,0.62,0.62
TN,0.21,1.03,0.09,0.46,0.11,0.57
TX,0.28,4.75,0.05,0.88,0.23,3.87
UT,0.36,0.36,0.06,0.06,0.3,0.3
VA,0.32,1.92,0.06,0.34,0.26,1.58
VT,1.0,1.0,0.12,0.12,0.88,0.88
WA,0.24,0.72,0.1,0.3,0.14,0.42
WI,0.44,1.77,0.06,0.24,0.38,1.53
WV,0.71,2.13,0.11,0.32,0.6,1.81
