State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AK,0.92,0.92,0.08,0.08,0.84,0.84
AL,0.66,6.61,0.12,1.17,0.54,5.44
AR,0.69,7.64,0.11,1.16,0.59,6.48
AZ,0.45,4.95,0.08,0.87,0.37,4.08
CA,0.3,15.04,0.1,4.95,0.2,10.09
CO,0.65,1.95,0.09,0.28,0.56,1.67
CT,0.68,8.9,0.07,0.88,0.62,8.02
DC,0.38,1.52,0.07,0.27,0.31,1.25
DE,,0.0,0.12,0.25,,-0.25
FL,0.39,16.62,0.06,2.76,0.32,13.86
GA,0.58,9.87,0.08,1.33,0.5,8.54
HI,0.86,3.42,0.14,0.55,0.72,2.87
IA,0.81,3.25,0.15,0.59,0.66,2.66
ID,0.4,0.81,0.2,0.39,0.21,0.42
IL,0.34,8.49,0.07,1.66,0.27,6.83
IN,0.76,3.81,0.07,0.44,0.69,3.37
KS,0.55,1.66,0.08,0.23,0.48,1.43
KY,0.39,1.55,0.08,0.3,0.31,1.25
LA,0.63,5.66,0.07,0.64,0.56,5.02
MA,0.47,7.45,0.08,1.3,0.38,6.15
MD,0.61,7.35,0.07,0.81,0.54,6.54
ME,0.78,0.78,0.15,0.15,0.63,0.63
MI,0.48,14.29,0.06,1.85,0.41,12.44
MN,0.75,2.26,0.1,0.31,0.65,1.95
MO,0.45,4.04,0.07,0.62,0.38,3.42
MS,0.78,4.69,0.08,0.47,0.7,4.22
MT,,0.0,0.15,0.15,,-0.15
NC,0.5,6.55,0.1,1.33,0.4,5.22
ND,0.81,0.81,0.02,0.02,0.79,0.79
NE,0.92,1.83,0.13,0.26,0.78,1.57
NH,0.88,0.88,0.16,0.16,0.72,0.72
NJ,0.37,9.95,0.06,1.73,0.3,8.22
NM,0.68,1.36,0.12,0.23,0.56,1.13
NV,0.46,2.75,0.1,0.62,0.36,2.13
NY,0.28,15.86,0.06,3.69,0.21,12.17
OH,0.57,17.63,0.09,2.72,0.48,14.91
OK,0.79,3.15,0.12,0.49,0.66,2.66
OR,0.77,4.63,0.18,1.08,0.59,3.55
PA,0.34,11.47,0.05,1.8,0.28,9.67
PR,0.4,1.58,0.07,0.29,0.32,1.29
RI,0.62,2.48,0.13,0.52,0.49,1.96
SC,0.59,4.15,0.12,0.84,0.47,3.31
SD,0.86,0.86,0.03,0.03,0.83,0.83
TN,0.45,4.09,0.07,0.61,0.39,3.48
TX,0.44,15.0,0.07,2.22,0.38,12.78
UT,0.59,0.59,0.28,0.28,0.31,0.31
VA,0.58,7.56,0.09,1.13,0.49,6.43
VT,0.62,0.62,0.17,0.17,0.45,0.45
WA,0.66,5.3,0.13,1.05,0.53,4.25
WI,0.71,3.54,0.11,0.56,0.6,2.98
WV,0.7,2.8,0.05,0.21,0.65,2.59
