State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,1.0,1.0,0.38,0.38,0.62,0.62
AR,,0.0,,0.0,,0.0
AZ,0.59,1.18,0.23,0.46,0.36,0.72
CA,0.49,2.97,0.24,1.46,0.25,1.51
CO,,0.0,0.18,0.18,,-0.18
CT,1.0,1.0,0.28,0.28,0.72,0.72
DC,1.0,1.0,0.13,0.13,0.87,0.87
DE,,0.0,0.12,0.12,,-0.12
FL,0.34,1.38,0.18,0.71,0.17,0.67
GA,0.8,0.8,0.2,0.2,0.6,0.6
IA,,0.0,,0.0,,0.0
IL,0.4,0.81,0.2,0.41,0.2,0.4
IN,1.0,1.0,0.19,0.19,0.81,0.81
KS,0.8,0.8,0.11,0.11,0.69,0.69
KY,,0.0,,0.0,,0.0
LA,0.82,1.63,0.26,0.53,0.55,1.1
MA,0.79,2.38,0.16,0.48,0.63,1.9
MD,1.0,1.0,0.18,0.18,0.82,0.82
ME,1.0,1.0,0.28,0.28,0.72,0.72
MI,0.71,2.83,0.2,0.79,0.51,2.04
MN,0.5,1.0,0.24,0.49,0.26,0.51
MO,0.68,2.03,0.25,0.75,0.43,1.28
MS,1.0,1.0,0.24,0.24,0.76,0.76
NC,0.92,1.83,0.22,0.43,0.7,1.4
NE,,0.0,,0.0,,0.0
NH,,0.0,0.26,0.26,,-0.26
NJ,,0.0,,0.0,,0.0
NY,0.35,2.83,0.21,1.69,0.14,1.14
OH,0.44,1.33,0.14,0.42,0.3,0.91
OR,1.0,1.0,0.11,0.11,0.89,0.89
PA,0.5,4.03,0.19,1.54,0.31,2.49
RI,,0.0,0.24,0.24,,-0.24
SC,0.4,0.4,0.13,0.13,0.27,0.27
TN,1.0,1.0,0.19,0.19,0.81,0.81
TX,0.71,2.13,0.31,0.92,0.4,1.21
UT,1.0,1.0,0.17,0.17,0.83,0.83
VA,0.9,1.8,0.16,0.31,0.74,1.49
WA,,0.0,,0.0,,0.0
WI,1.0,3.0,0.19,0.56,0.81,2.44
