State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.67,0.67,0.11,0.11,0.56,0.56
AR,,0.0,0.23,0.23,,-0.23
AZ,0.56,1.67,0.12,0.37,0.43,1.3
CA,0.37,2.99,0.12,0.99,0.25,2.0
CO,1.0,1.0,0.17,0.17,0.83,0.83
CT,0.88,1.75,0.24,0.48,0.64,1.27
DC,0.67,0.67,0.18,0.18,0.49,0.49
FL,0.32,1.27,0.14,0.54,0.18,0.73
GA,0.56,0.56,0.16,0.16,0.4,0.4
IA,1.0,1.0,0.12,0.12,0.88,0.88
IL,0.42,2.09,0.13,0.63,0.29,1.46
IN,0.86,0.86,0.08,0.08,0.78,0.78
KS,,0.0,,0.0,,0.0
KY,1.0,2.0,0.17,0.34,0.83,1.66
LA,0.59,1.78,0.19,0.57,0.4,1.21
MA,0.84,4.19,0.15,0.73,0.69,3.46
MD,0.65,1.3,0.15,0.3,0.5,1.0
MI,0.58,2.32,0.14,0.54,0.45,1.78
MN,0.5,1.0,0.14,0.28,0.36,0.72
MO,0.75,0.75,0.15,0.15,0.6,0.6
MS,,0.0,,0.0,,0.0
NC,0.39,1.17,0.09,0.28,0.3,0.89
NE,0.5,0.5,0.18,0.18,0.32,0.32
NH,1.0,1.0,0.14,0.14,0.86,0.86
NJ,0.75,1.5,0.22,0.44,0.53,1.06
NM,,0.0,,0.0,,0.0
NY,0.35,3.81,0.13,1.43,0.22,2.38
OH,0.48,1.9,0.14,0.56,0.34,1.34
OK,1.0,1.0,0.07,0.07,0.93,0.93
OR,0.67,0.67,0.11,0.11,0.56,0.56
PA,0.32,1.9,0.12,0.73,0.2,1.17
RI,1.0,1.0,0.13,0.13,0.87,0.87
SC,0.67,0.67,0.11,0.11,0.56,0.56
TN,0.11,0.11,0.11,0.11,0.0,0.0
TX,0.38,3.06,0.09,0.75,0.29,2.31
UT,1.0,1.0,0.14,0.14,0.86,0.86
VA,0.52,1.55,0.16,0.47,0.36,1.08
VT,1.0,1.0,0.11,0.11,0.89,0.89
WA,0.6,0.6,0.11,0.11,0.49,0.49
WI,0.6,0.6,0.13,0.13,0.47,0.47
WV,,0.0,0.15,0.15,,-0.15
