State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.78,1.56,0.12,0.24,0.66,1.32
AR,0.67,0.67,0.08,0.08,0.59,0.59
AZ,0.65,1.3,0.09,0.18,0.56,1.12
CA,0.49,6.83,0.12,1.71,0.37,5.12
CO,0.79,1.58,0.17,0.34,0.62,1.24
CT,0.92,1.83,0.16,0.31,0.76,1.52
DC,0.83,2.5,0.12,0.35,0.72,2.15
FL,0.52,6.79,0.09,1.2,0.43,5.59
GA,0.76,1.52,0.1,0.2,0.66,1.32
IA,0.88,0.88,0.18,0.18,0.7,0.7
IL,0.52,4.15,0.08,0.68,0.43,3.47
IN,1.0,1.0,0.11,0.11,0.89,0.89
KS,,0.0,,0.0,,0.0
KY,0.69,1.38,0.11,0.21,0.58,1.17
LA,0.55,2.21,0.08,0.34,0.47,1.87
MA,0.5,1.98,0.15,0.58,0.35,1.4
MD,0.78,1.57,0.18,0.37,0.6,1.2
ME,0.67,0.67,0.06,0.06,0.61,0.61
MI,0.58,4.65,0.07,0.57,0.51,4.08
MN,0.88,1.75,0.12,0.23,0.76,1.52
MO,0.51,2.03,0.13,0.51,0.38,1.52
MS,,0.0,,0.0,,0.0
NC,0.72,2.17,0.13,0.38,0.6,1.79
ND,,0.0,0.14,0.14,,-0.14
NE,0.9,1.8,0.1,0.19,0.8,1.61
NH,1.0,1.0,0.12,0.12,0.88,0.88
NJ,0.72,2.16,0.08,0.23,0.64,1.93
NM,1.0,1.0,0.15,0.15,0.85,0.85
NV,0.71,0.71,0.18,0.18,0.53,0.53
NY,0.5,9.0,0.14,2.53,0.36,6.47
OH,0.5,3.47,0.1,0.7,0.4,2.77
OK,0.89,0.89,0.09,0.09,0.8,0.8
OR,1.0,1.0,0.15,0.15,0.85,0.85
PA,0.56,7.23,0.12,1.52,0.44,5.71
PR,,0.0,,0.0,,0.0
RI,1.0,1.0,0.24,0.24,0.76,0.76
SC,0.55,1.65,0.12,0.37,0.43,1.28
SD,1.0,1.0,0.1,0.1,0.9,0.9
TN,0.66,1.32,0.2,0.39,0.46,0.93
TX,0.69,4.85,0.08,0.55,0.61,4.3
UT,1.0,1.0,0.17,0.17,0.83,0.83
VA,0.66,1.99,0.15,0.45,0.51,1.54
VT,1.0,1.0,0.13,0.13,0.87,0.87
WA,1.0,1.0,0.22,0.22,0.78,0.78
WI,0.88,1.76,0.12,0.24,0.76,1.52
WV,0.6,1.8,0.09,0.27,0.51,1.53
