State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.52,1.03,0.16,0.32,0.36,0.71
AR,0.0,0.0,0.16,0.16,-0.16,-0.16
AZ,0.48,1.45,0.12,0.36,0.36,1.09
CA,0.39,8.55,0.12,2.65,0.27,5.9
CO,0.42,0.85,0.14,0.27,0.29,0.58
CT,0.49,2.46,0.12,0.61,0.37,1.85
DC,0.63,1.89,0.08,0.25,0.55,1.64
DE,,0.0,0.16,0.16,,-0.16
FL,0.47,6.59,0.09,1.21,0.38,5.38
GA,0.66,3.94,0.11,0.65,0.55,3.29
HI,,0.0,,0.0,,0.0
IA,0.82,0.82,0.13,0.13,0.69,0.69
IL,0.34,3.78,0.08,0.88,0.26,2.9
IN,0.76,2.27,0.18,0.55,0.57,1.72
KS,0.86,2.58,0.19,0.58,0.67,2.0
KY,0.72,2.15,0.16,0.47,0.56,1.68
LA,0.74,2.98,0.13,0.53,0.61,2.45
MA,0.46,2.76,0.09,0.56,0.37,2.2
MD,0.54,1.61,0.14,0.42,0.4,1.19
ME,0.63,0.63,0.15,0.15,0.48,0.48
MI,0.38,8.06,0.1,2.09,0.28,5.97
MN,1.0,1.0,0.12,0.12,0.88,0.88
MO,0.36,1.8,0.14,0.68,0.22,1.12
MS,0.78,0.78,0.12,0.12,0.66,0.66
NC,0.49,2.96,0.1,0.6,0.39,2.36
NE,0.72,1.45,0.16,0.32,0.56,1.13
NH,0.5,0.5,0.14,0.14,0.36,0.36
NJ,0.47,6.05,0.11,1.45,0.35,4.6
NM,0.64,0.64,0.13,0.13,0.51,0.51
NV,1.0,1.0,0.14,0.14,0.86,0.86
NY,0.39,11.23,0.1,2.94,0.29,8.29
OH,0.42,5.93,0.11,1.54,0.31,4.39
OK,0.61,1.82,0.12,0.36,0.49,1.46
OR,1.0,1.0,0.15,0.15,0.85,0.85
PA,0.28,4.74,0.1,1.64,0.18,3.1
PR,,0.0,,0.0,,0.0
RI,0.9,0.9,0.13,0.13,0.77,0.77
SC,0.63,2.53,0.12,0.48,0.51,2.05
TN,0.31,1.88,0.14,0.82,0.18,1.06
TX,0.49,7.36,0.09,1.34,0.4,6.02
UT,1.0,1.0,0.16,0.16,0.84,0.84
VA,0.4,2.42,0.08,0.47,0.32,1.95
VT,1.0,1.0,0.12,0.12,0.88,0.88
WA,0.45,0.89,0.13,0.26,0.32,0.63
WI,0.41,1.24,0.12,0.36,0.29,0.88
WV,0.58,1.75,0.09,0.28,0.49,1.47
