State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.38,0.38,0.12,0.12,0.26,0.26
AR,0.89,0.89,0.16,0.16,0.73,0.73
AZ,0.38,0.75,0.04,0.09,0.33,0.66
CA,0.31,3.7,0.09,1.1,0.22,2.6
CO,0.6,0.6,0.1,0.1,0.5,0.5
CT,0.25,0.25,0.09,0.09,0.16,0.16
DC,,0.0,,0.0,,0.0
FL,0.36,2.85,0.08,0.65,0.28,2.2
GA,0.48,1.43,0.11,0.32,0.37,1.11
HI,1.0,1.0,0.04,0.04,0.96,0.96
IA,0.44,0.44,0.14,0.14,0.3,0.3
IL,0.21,1.44,0.09,0.6,0.12,0.84
IN,0.6,0.6,0.11,0.11,0.49,0.49
KS,0.75,0.75,0.12,0.12,0.63,0.63
KY,,0.0,,0.0,,0.0
LA,0.59,1.76,0.09,0.26,0.5,1.5
MA,0.52,2.1,0.11,0.44,0.42,1.66
MD,0.17,0.69,0.08,0.3,0.1,0.39
MI,0.33,3.93,0.08,0.91,0.25,3.02
MN,0.54,0.54,0.06,0.06,0.48,0.48
MO,0.2,0.8,0.1,0.39,0.1,0.41
MS,0.67,0.67,0.13,0.13,0.54,0.54
NC,0.37,1.85,0.11,0.54,0.26,1.31
ND,1.0,1.0,0.08,0.08,0.92,0.92
NE,,0.0,,0.0,,0.0
NH,,0.0,,0.0,,0.0
NJ,0.31,2.51,0.08,0.66,0.23,1.85
NM,0.63,0.63,0.15,0.15,0.48,0.48
NV,0.55,1.09,0.06,0.11,0.49,0.98
NY,0.28,3.66,0.1,1.3,0.18,2.36
OH,0.33,3.27,0.09,0.9,0.24,2.37
OK,0.71,1.42,0.11,0.21,0.6,1.21
OR,1.0,1.0,0.11,0.22,0.89,0.78
PA,0.28,3.35,0.1,1.24,0.18,2.11
PR,,0.0,,0.0,,0.0
RI,0.9,0.9,0.13,0.13,0.77,0.77
SC,0.36,0.73,0.1,0.19,0.27,0.54
TN,0.44,1.76,0.11,0.44,0.33,1.32
TX,0.32,2.92,0.08,0.73,0.24,2.19
UT,0.5,0.5,0.11,0.11,0.39,0.39
VA,0.29,0.57,0.25,0.5,0.04,0.07
VT,1.0,1.0,0.12,0.12,0.88,0.88
WA,0.5,0.5,0.12,0.12,0.38,0.38
WI,0.38,0.76,0.12,0.23,0.26,0.53
WV,,0.0,,0.0,,0.0
