State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.0,0.0,0.17,0.17,-0.17,-0.17
AR,1.0,1.0,0.25,0.25,0.75,0.75
AZ,0.62,1.25,0.14,0.27,0.49,0.98
CA,0.47,2.82,0.14,0.86,0.33,1.96
CO,,0.0,,0.0,,0.0
CT,0.26,0.51,0.14,0.28,0.12,0.23
DC,0.2,0.2,0.08,0.08,0.12,0.12
FL,0.32,0.97,0.22,0.65,0.11,0.32
GA,0.64,0.64,0.17,0.17,0.47,0.47
HI,,0.0,,0.0,,0.0
IA,0.0,0.0,0.26,0.26,-0.26,-0.26
IL,0.43,1.28,0.16,0.49,0.26,0.79
IN,1.0,1.0,0.22,0.22,0.78,0.78
KS,0.5,0.5,0.13,0.13,0.37,0.37
KY,0.92,1.83,0.21,0.42,0.7,1.41
LA,0.66,1.33,0.24,0.48,0.43,0.85
MA,0.6,2.42,0.15,0.6,0.45,1.82
MD,0.71,0.71,0.14,0.14,0.57,0.57
MI,0.65,1.95,0.19,0.56,0.46,1.39
MN,0.63,0.63,0.19,0.19,0.44,0.44
MO,0.79,1.58,0.16,0.33,0.62,1.25
MS,0.0,0.0,0.24,0.24,-0.24,-0.24
NC,0.46,0.46,0.09,0.09,0.37,0.37
NE,,0.0,,0.0,,0.0
NH,1.0,1.0,0.11,0.11,0.89,0.89
NJ,0.7,1.41,0.14,0.28,0.57,1.13
NM,0.5,0.5,0.16,0.16,0.34,0.34
NV,0.0,0.0,0.25,0.25,-0.25,-0.25
NY,0.46,3.21,0.16,1.11,0.3,2.1
OH,0.26,1.85,0.16,1.12,0.1,0.73
OK,,0.0,,0.0,,0.0
OR,,0.0,0.11,0.11,,-0.11
PA,0.36,3.56,0.15,1.52,0.2,2.04
PR,,0.0,,0.0,,0.0
SC,0.71,0.71,0.16,0.16,0.55,0.55
TN,0.63,0.63,0.17,0.17,0.46,0.46
TX,0.52,2.06,0.14,0.58,0.37,1.48
UT,,0.0,0.18,0.18,,-0.18
VA,0.73,1.46,0.16,0.33,0.56,1.13
VT,0.0,0.0,0.14,0.14,-0.14,-0.14
WA,,0.0,,0.0,,0.0
WI,1.0,1.0,0.16,0.16,0.84,0.84
WV,1.0,1.0,0.19,0.19,0.81,0.81
