Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Henry Ford Health/Henry Ford Hospital Program,0.61,0.03,0.67,0.14,0.19,0.1,0.18,0.09,Detroit,MI,East North Central
University of New Mexico School of Medicine Program,0.61,0.02,0.5,0.16,0.18,0.07,0.25,0.0,Albuquerque,NM,Mountain
University of Texas Medical Branch Hospitals Program,0.6,0.05,0.63,0.19,0.3,0.09,0.18,0.0,Galveston,TX,West South Central
University of Arizona College of Medicine-Tucson Program,0.58,0.0,0.75,0.15,0.18,0.0,0.0,0.0,Tucson,AZ,Mountain
University of Rochester Program,0.58,0.21,0.56,0.27,0.36,0.06,0.25,0.08,Rochester,NY,Middle Atlantic
Penn State Milton S Hershey Medical Center Program,0.56,0.01,0.56,0.16,0.23,0.0,0.07,0.0,Hershey,PA,Middle Atlantic
Wayne State University School of Medicine Program,0.56,0.16,0.78,0.24,0.35,0.04,0.0,0.0,Detroit,MI,East North Central
Louisiana State University (Shreveport) Program,0.54,0.26,0.64,0.36,0.49,0.0,0.0,0.0,Shreveport,LA,West South Central
University of Vermont Medical Center Program,0.54,0.03,0.0,0.14,0.17,0.0,0.0,0.0,Burlington,VT,New England
Medical College of Georgia Program,0.53,0.02,0.64,0.17,0.21,0.12,0.07,0.0,Augusta,GA,South Atlantic
