State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.59,1.18,0.31,0.62,0.28,0.56
AR,1.0,1.0,0.27,0.27,0.73,0.73
AZ,0.85,1.7,0.3,0.59,0.55,1.11
CA,0.64,10.2,0.32,5.05,0.32,5.15
CO,0.76,0.76,0.26,0.26,0.5,0.5
CT,0.92,1.84,0.25,0.5,0.67,1.34
DC,0.92,1.83,0.2,0.39,0.72,1.44
DE,,0.0,0.34,0.34,,-0.34
FL,0.7,8.35,0.2,2.39,0.5,5.96
GA,0.69,3.45,0.24,1.21,0.45,2.24
HI,1.0,1.0,0.12,0.12,0.88,0.88
IA,0.93,1.86,0.23,0.46,0.7,1.4
ID,0.62,0.62,0.37,0.37,0.25,0.25
IL,0.78,6.98,0.24,2.19,0.53,4.79
IN,0.83,1.66,0.18,0.35,0.66,1.31
KS,0.82,0.82,0.09,0.09,0.73,0.73
KY,0.92,1.84,0.36,0.72,0.56,1.12
LA,0.9,3.6,0.23,0.93,0.67,2.67
MA,0.85,3.39,0.22,0.88,0.63,2.51
MD,0.8,2.39,0.26,0.78,0.54,1.61
ME,0.7,0.7,0.21,0.21,0.49,0.49
MI,0.77,7.68,0.18,1.75,0.59,5.93
MN,,0.0,,0.0,,0.0
MO,0.82,3.29,0.26,1.05,0.56,2.24
MS,0.85,0.85,0.27,0.27,0.58,0.58
NC,0.81,4.06,0.3,1.48,0.52,2.58
ND,1.0,1.0,0.24,0.24,0.76,0.76
NE,1.0,1.0,0.31,0.31,0.69,0.69
NH,1.0,1.0,0.18,0.18,0.82,0.82
NJ,0.64,5.78,0.16,1.46,0.48,4.32
NM,0.91,0.91,0.54,0.54,0.37,0.37
NV,0.88,1.76,0.3,0.59,0.58,1.17
NY,0.43,12.88,0.18,5.28,0.25,7.6
OH,0.75,6.76,0.24,2.16,0.51,4.6
OK,1.0,3.0,0.27,0.82,0.73,2.18
OR,1.0,1.0,0.32,0.32,0.68,0.68
PA,0.58,4.66,0.22,1.73,0.37,2.93
PR,0.84,0.84,0.17,0.17,0.67,0.67
RI,1.0,1.0,0.33,0.33,0.67,0.67
SC,0.77,2.31,0.23,0.7,0.54,1.61
SD,1.0,1.0,0.18,0.18,0.82,0.82
TN,0.68,2.03,0.3,0.91,0.37,1.12
TX,0.62,7.5,0.12,1.42,0.51,6.08
UT,0.9,0.9,0.27,0.27,0.63,0.63
VA,0.73,3.65,0.29,1.43,0.44,2.22
VT,1.0,1.0,0.29,0.29,0.71,0.71
WA,0.87,1.74,0.32,0.63,0.55,1.11
WI,0.73,2.2,0.26,0.78,0.47,1.42
WV,0.74,1.49,0.12,0.23,0.63,1.26
