State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
AL,0.57,1.14,0.06,0.11,0.52,1.03
AR,0.49,0.98,0.15,0.29,0.34,0.69
AZ,0.56,1.68,0.04,0.13,0.52,1.55
CA,0.3,8.05,0.07,2.01,0.22,6.04
CO,0.43,0.85,0.09,0.18,0.34,0.67
CT,0.62,3.11,0.09,0.45,0.53,2.66
DC,0.61,1.83,0.07,0.22,0.54,1.61
DE,,0.0,0.12,0.12,,-0.12
FL,0.35,7.26,0.06,1.22,0.29,6.04
GA,0.62,4.95,0.09,0.7,0.53,4.25
HI,1.0,1.0,0.15,0.15,0.85,0.85
IA,0.68,2.03,0.07,0.21,0.61,1.82
ID,,0.0,,0.0,,0.0
IL,0.34,3.73,0.06,0.62,0.28,3.11
IN,0.87,3.49,0.1,0.39,0.78,3.1
KS,0.88,1.75,0.09,0.18,0.78,1.57
KY,0.8,1.61,0.08,0.17,0.72,1.44
LA,0.7,2.8,0.06,0.26,0.64,2.54
MA,0.42,4.23,0.09,0.87,0.34,3.36
MD,0.55,1.1,0.12,0.24,0.43,0.86
ME,0.53,1.06,0.11,0.22,0.42,0.84
MI,0.6,6.55,0.07,0.8,0.52,5.75
MN,0.77,1.54,0.08,0.17,0.68,1.37
MO,0.47,2.37,0.08,0.41,0.39,1.96
MS,0.78,1.56,0.15,0.3,0.63,1.26
MT,,0.0,0.12,0.12,,-0.12
NC,0.59,5.29,0.08,0.69,0.51,4.6
ND,0.5,0.5,0.09,0.09,0.41,0.41
NE,0.64,1.27,0.15,0.3,0.48,0.97
NH,1.0,1.0,0.15,0.15,0.85,0.85
NJ,0.47,4.71,0.08,0.77,0.39,3.94
NM,0.56,0.56,0.1,0.1,0.46,0.46
NV,0.6,2.42,0.07,0.27,0.54,2.15
NY,0.22,8.03,0.07,2.39,0.16,5.64
OH,0.45,4.46,0.06,0.63,0.38,3.83
OK,0.84,2.52,0.06,0.19,0.78,2.33
OR,0.57,1.15,0.1,0.2,0.48,0.95
PA,0.38,4.55,0.08,0.96,0.3,3.59
PR,,0.0,,0.0,,0.0
RI,0.45,0.45,0.11,0.11,0.34,0.34
SC,0.68,3.39,0.1,0.48,0.58,2.91
SD,1.0,1.0,0.14,0.14,0.86,0.86
TN,0.37,1.85,0.09,0.45,0.28,1.4
TX,0.42,7.14,0.06,1.1,0.36,6.04
UT,1.0,1.0,0.15,0.15,0.85,0.85
VA,0.51,2.53,0.07,0.37,0.43,2.16
VT,0.89,0.89,0.07,0.07,0.82,0.82
WA,0.5,0.99,0.08,0.15,0.42,0.84
WI,0.63,1.88,0.05,0.16,0.57,1.72
WV,0.8,1.6,0.08,0.15,0.73,1.45
