State,In-State School Mean,In-State School Sum,Out-Of-State School Mean,Out-Of-State School Sum,Mean Difference,Sum Difference
CA,0.67,0.67,0.28,0.28,0.39,0.39
CT,0.5,0.5,0.28,0.28,0.22,0.22
FL,,0.0,,0.0,,0.0
GA,0.5,0.5,0.15,0.15,0.35,0.35
IA,1.0,1.0,0.2,0.2,0.8,0.8
IL,0.75,0.75,0.22,0.22,0.53,0.53
IN,,0.0,,0.0,,0.0
KY,0.0,0.0,0.21,0.21,-0.21,-0.21
MA,,0.0,,0.0,,0.0
MD,,0.0,,0.0,,0.0
MI,0.25,0.25,0.18,0.18,0.07,0.07
NC,,0.0,0.21,0.21,,-0.21
NY,0.8,4.77,0.19,1.15,0.6,3.62
OH,0.34,0.67,0.22,0.45,0.11,0.22
PA,0.11,0.11,0.25,0.25,-0.14,-0.14
SC,,0.0,,0.0,,0.0
TX,0.75,0.75,0.26,0.26,0.49,0.49
UT,,0.0,,0.0,,0.0
VA,0.5,0.5,0.1,0.1,0.4,0.4
WA,,0.0,,0.0,,0.0
