Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Albany Medical Center Program,0.87,0.23,0.36,0.38,0.04,0,Cohoes,NY,Middle Atlantic
Baylor College of Medicine Program,0.83,0.24,0.36,0.07,0,0.11,Houston,TX,West South Central
Brown University Program,1,0.19,0.25,0,0,0,Providence,RI,New England
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.67,0.1,0.19,0.02,0,0.04,Cleveland,OH,East North Central
Corewell Health - Grand Rapids/Michigan State University Program,0.79,0.16,0.35,0.03,0.03,0,Grand Rapids,MI,East North Central
Corewell Health William Beaumont University Hospital Program,0.7,0.13,0.46,0.23,0.06,0.03,Royal Oak,MI,East North Central
Detroit Medical Center/Wayne State University Program,0.91,0.26,0.53,0.27,0.07,0.01,Detroit,MI,East North Central
Duke University Hospital Program,0.56,0.2,0.26,0,0,0,Durham,NC,South Atlantic
ECU Health Medical Center/East Carolina University Program,1,0.29,0.6,0.27,0.04,0.02,Greenville,NC,South Atlantic
Geisinger Health System Program,0.83,0.36,0.75,0.56,0,0,Danville,PA,Middle Atlantic
Hurley Medical Center/Michigan State University Program,0.27,0.2,0.08,0,0.18,0.31,Flint,MI,East North Central
Icahn School of Medicine at Mount Sinai Program,0.28,0.16,0.23,0.11,0,0,New York,NY,Middle Atlantic
Indiana University School of Medicine Program,1,0.56,0.67,0.27,0.04,0.17,Indianapolis,IN,East North Central
Johns Hopkins University Program,-,-,-,-,-,-,Baltimore,MD,South Atlantic
Loma Linda University Health Education Consortium Program,0.71,0.18,0.38,0.14,0,0,Loma Linda,CA,Pacific
Louisiana State University (Shreveport) Program,1,0.74,0.96,0.97,0.63,0.57,Shreveport,LA,West South Central
Louisiana State University School of Medicine Program,0.93,0.51,0.75,0.66,0.09,0,New Orleans,LA,West South Central
Loyola University Medical Center Program,0.71,0.27,0.38,0.12,0.03,0.11,Maywood,IL,East North Central
MaineHealth Program,0.8,0.21,0.26,0.18,0,0.2,Portland,ME,New England
Marshall University School of Medicine Program,1,0.24,0.4,0.3,0.04,0.04,Huntington,WV,South Atlantic
Marshfield Clinic Program,1,0.34,0.74,0.56,0.15,0.18,Marshfield,WI,East North Central
Mass General Brigham/Brigham and Women's Hospital/Children's Hospital/Harvard Medical School Program,0.2,0.12,0.15,0,0,0,Boston,MA,New England
