Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Abbott-Northwestern Hospital Program,0.87,0.11,0.39,0.09,0.02,0.01,Minneapolis,MN,West North Central
Abington Memorial Hospital Program,0.6,0.03,0.22,0.25,0.06,0.01,Abington,PA,Middle Atlantic
Abrazo Health Network Program,0.66,0.09,0.15,0.24,0.06,0.02,Glendale,AZ,Mountain
Adena Regional Medical Center Program,0.76,0.14,0.26,0.4,0.03,0,Chillicothe,OH,East North Central
AdventHealth Florida (Orlando) Program,0.2,0.02,0.17,0.1,0.01,0.01,Orlando,FL,South Atlantic
AdventHealth Florida (Sebring) Program,0.43,0.02,0.36,0.25,0,0.01,Sebring,FL,South Atlantic
AdventHealth Florida (Tampa) Program,0.27,0.02,0.2,0.05,0.02,0.02,Tampa,FL,South Atlantic
AdventHealth Redmond Program,0.67,0.21,0.51,0.47,0.14,0.03,Rome,GA,South Atlantic
Adventist Health Hanford Central Valley Network Program,0.19,0.05,0.14,0.09,0.08,0.02,Tulare,CA,Pacific
Adventist Health White Memorial Program,0.16,0.03,0.08,0.1,0.01,0,Los Angeles,CA,Pacific
Advocate Health Care/Advocate Christ Medical Center Program,0.4,0.06,0.22,0.18,0.05,0.02,Oak Lawn,IL,East North Central
Advocate Health Care/Advocate Illinois Masonic Medical Center Program,0.2,0.03,0.11,0.04,0.03,0.03,Chicago,IL,East North Central
Advocate Health Care/Advocate Lutheran General Hospital Program,0.4,0.06,0.22,0.14,0.02,0.01,Park Ridge,IL,East North Central
Aiken Regional Medical Centers Program,0.72,0.04,0.39,0.23,0.06,0.02,Aiken,SC,South Atlantic
Akron General Medical Center/NEOMED Program,0.32,0.02,0.15,0.1,0.01,0.01,Akron,OH,East North Central
Alameda Health System-Highland Hospital Program,0.57,0.18,0.55,0.27,0.09,0.01,Oakland,CA,Pacific
Albany Medical Center Program,0.18,0.03,0.11,0.08,0.02,0.03,Albany,NY,Middle Atlantic
Albert Einstein Healthcare Network Program,0.36,0.04,0.17,0.13,0.02,0.03,Philadelphia,PA,Middle Atlantic
Albert Einstein Healthcare Network/Einstein Medical Center Montgomery Program,0.42,0.02,0.2,0.17,0.03,0.01,East Norriton,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium (AGH) Program,0.32,0.05,0.27,0.13,0.03,0.02,Pittsburgh,PA,Middle Atlantic
Anne Arundel Medical Center Program,0.88,0.04,0.39,0.2,0.04,0.03,Annapolis,MD,South Atlantic
"Appalachian Regional Healthcare, Inc. Program",0.07,0,0,0.02,0.01,0,Whitesburg,KY,East South Central
Archbold Medical Center Program,-,-,-,-,-,-,Thomasville,GA,South Atlantic
Arkansas College of Osteopathic Medicine Program,-,-,-,-,-,-,Greenville,TX,West South Central
Arkansas College of Osteopathic Medicine/Mercy Program,0.88,0.03,0.13,0.23,0.02,0.02,Fort Smith,AR,West South Central
Arnot Ogden Medical Center Program,0.32,0.11,0.09,0.45,0.04,0.02,Elmira,NY,Middle Atlantic
Arrowhead Regional Medical Center Program,0.28,0.05,0.12,0.2,0.02,0,Colton,CA,Pacific
Ascension Genesys Hospital Program,0.49,0.09,0.22,0.27,0.06,0.01,Grand Blanc,MI,East North Central
Ascension Illinois/Saint Francis Program,0.34,0.04,0.15,0.03,0.02,0.04,Evanston,IL,East North Central
Ascension Illinois/Saint Joseph (Chicago) Program,0.11,0.03,0.08,0.01,0.01,0.03,Chicago,IL,East North Central
Ascension Macomb-Oakland Hospital Program,0.86,0.12,0.47,0.22,0.11,0.1,Warren,MI,East North Central
Ascension Providence/MSUCHM Program,0.51,0.02,0.13,0.23,0.03,0.02,Southfield,MI,East North Central
Ascension St John Hospital Program,0.28,0.04,0.11,0.19,0.06,0.02,Grosse Pointe Woods,MI,East North Central
Ascension St Vincent Hospital Indianapolis Program,0.74,0.04,0.24,0.12,0.02,0,Indianapolis,IN,East North Central
Atlantic Health System/Morristown Medical Center Program,0.3,0.03,0.16,0.14,0.02,0.01,Morristown,NJ,Middle Atlantic
Atlantic Health System/Overlook Medical Center Program,0.32,0.03,0.2,0.08,0.05,0.01,Summit,NJ,Middle Atlantic
AtlantiCare Regional Medical Center Program,0.8,0.09,0.06,0.24,0.1,0.02,Atlantic City,NJ,Middle Atlantic
Atrium Health Navicent The Medical Center/Mercer University School of Medicine Program,0.79,0.03,0.25,0.08,0.02,0.01,Macon,GA,South Atlantic
"Augusta Health, Inc Program",0.79,0.06,0.29,0.47,0.04,0.05,Fishersville,VA,South Atlantic
Augusta University/University of Georgia Medical Partnership Program,0.7,0.07,0.21,0.19,0.06,0,Athens,GA,South Atlantic
Aurora Health Care Program,0.73,0.05,0.24,0.14,0.03,0.01,Milwaukee,WI,East North Central
Baptist Health - UAMS Program,0.53,0.04,0.17,0.12,0.05,0.02,North Little Rock,AR,West South Central
Baptist Health South Florida Program,-,-,-,-,-,-,Miami,FL,South Atlantic
Baptist Hospitals of Southeast Texas Program,0.59,0.04,0.31,0.38,0.06,0.03,Beaumont,TX,West South Central
Baptist Memorial Medical Education (Columbus) Program,0.74,0.09,0.39,0.64,0.08,0.04,Columbus,MS,East South Central
Baptist Memorial Medical Education (Jonesboro) Program,0.39,0.06,0.21,0.22,0.02,0,Jonesboro,AR,West South Central
Baptist Memorial Medical Education (Oxford) Program,0.93,0.05,0.75,0.75,0.02,0.02,Oxford,MS,East South Central
Baptist Memorial Medical Education Program,-,-,-,-,-,-,Jackson,MS,East South Central
Bassett Medical Center Program,0.05,0.02,0.07,0.06,0.01,0.02,Cooperstown,NY,Middle Atlantic
Baton Rouge General Program,0.54,0.04,0.22,0.12,0.05,0.04,Baton Rouge,LA,West South Central
BayCare Health System Program,0.69,0.06,0.67,0.45,0.07,0.01,Tampa,FL,South Atlantic
Bayhealth Medical Center Program,-,0.09,0.67,0.48,0.02,0.02,Dover,DE,South Atlantic
Baylor All Saints Medical Center Fort Worth Program,0.62,0.11,0.41,0.18,0.06,0.16,Fort Worth,TX,West South Central
Baylor College of Medicine Program,0.34,0.1,0.23,0.03,0.01,0.01,Houston,TX,West South Central
Baylor Scott and White Medical Center - Round Rock Program,0.18,0.02,0.13,0.06,0.02,0,Round Rock,TX,West South Central
Baylor University Medical Center Program,0.34,0.03,0.17,0.02,0.01,0.01,Dallas,TX,West South Central
Berkshire Medical Center Program,0.04,0.02,0.04,0.06,0.04,0.01,Pittsfield,MA,New England
Beth Israel Deaconess Medical Center Program,0.51,0.15,0.24,0,0.01,0.01,Boston,MA,New England
Billings Clinic Program,-,0.15,0.63,0.4,0.01,0.01,Billings,MT,Mountain
Boston University Medical Center Program,0.39,0.09,0.18,0,0.01,0,Boston,MA,New England
Bridgeport Hospital/Yale University Program,0.75,0.03,0.12,0.1,0.04,0.03,Bridgeport,CT,New England
BronxCare Health System Program,-,-,-,-,-,-,Bronx,NY,Middle Atlantic
Brooklyn Hospital Center Program,0.06,0.05,0.03,0.05,0.13,0.02,Brooklyn,NY,Middle Atlantic
Brookwood Baptist Health Program,0.55,0.04,0.36,0.19,0,0,Birmingham,AL,East South Central
Broward Health Medical Center Program,0.53,0.15,0.06,0.45,0.08,0.01,Fort Lauderdale,FL,South Atlantic
Broward Health North Program,0.67,0.09,0.26,0.31,0.09,0.03,Deerfield Beach,FL,South Atlantic
Brown University Program,0.98,0.25,0.39,0.03,0.02,0.02,Providence,RI,New England
California Pacific Medical Center Program,0.28,0.18,0.35,0.02,0.01,0,San Francisco,CA,Pacific
Cambridge Health Alliance Program,0.88,0.2,0.72,0.35,0.03,0.01,Cambridge,MA,New England
Campbell University/Harnett Health Program,0.34,0.05,0.18,0.15,0.04,0.03,Dunn,NC,South Atlantic
Campbell University/Southeastern Regional Medical Center Program,0.76,0.07,0.16,0.3,0.02,0.01,Lumberton,NC,South Atlantic
Canton Medical Education Foundation/NEOMED Program,0.65,0.02,0.22,0.14,0.02,0.02,Canton,OH,East North Central
Cape Fear Valley Health Program,0.42,0.07,0.29,0.1,0.09,0.03,Fayetteville,NC,South Atlantic
Capital Health Regional Medical Center Program,-,-,-,-,-,-,Trenton,NJ,Middle Atlantic
CarePoint Health/Bayonne Medical Center Program,0.18,0.06,0.13,0.09,0.06,0.05,Bayonne,NJ,Middle Atlantic
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,0.53,0.23,0.46,0.32,0,0,Roanoke,VA,South Atlantic
Carle Foundation Hospital Program,0.26,0.02,0.13,0.09,0.01,0.02,Urbana,IL,East North Central
Carolinas Medical Center Program,0.49,0.12,0.23,0.1,0,0.01,Charlotte,NC,South Atlantic
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.62,0.11,0.31,0.03,0.05,0.05,Cleveland,OH,East North Central
Cayuga Medical Center Program,0.04,0.03,0.03,0.11,0.03,0.03,Ithaca,NY,Middle Atlantic
Cedars-Sinai Medical Center Program,0.39,0.2,0.37,0.07,0.02,0.02,Los Angeles,CA,Pacific
Central Michigan University College of Medicine/CMU Medical Education Partners Program,0.52,0.04,0.28,0.25,0.04,0.02,Saginaw,MI,East North Central
"Charles R Drew University of Medicine and Science, College of Medicine Program",0.43,0.12,0.41,0.28,0.02,0.01,Los Angeles,CA,Pacific
Charleston Area Medical Center/CAMC Institute for Academic Medicine Program,0.66,0.04,0.4,0.25,0.02,0.03,Charleston,WV,South Atlantic
Chicago Medical School/Rosalind Franklin University of Medicine & Science Program,0.24,0.03,0.08,0.04,0.05,0.02,North Chicago,IL,East North Central
Chicago Medical School/Rosalind Franklin University of Medicine & Science/Northwestern Medicine McHenry Hospital Program,0.25,0.06,0.12,0.09,0.06,0.06,McHenry,IL,East North Central
Christ Hospital Program,0.62,0.09,0.43,0.22,0.01,0,Cincinnati,OH,East North Central
CHRISTUS Health/Texas A&M University School of Medicine Program,0.89,0.02,0.51,0.41,0.01,0,Longview,TX,West South Central
Cleveland Clinic (Florida) Program,0.17,0.02,0.08,0.03,0.04,0.01,Weston,FL,South Atlantic
Cleveland Clinic Foundation Program,0.38,0.08,0.23,0.13,0.02,0.02,Cleveland,OH,East North Central
Cleveland Clinic Foundation/Fairview Hospital Program,0.28,0.03,0.05,0.06,0.02,0.04,Cleveland,OH,East North Central
Cleveland Clinic Foundation/South Pointe Hospital Program,0.3,0.07,0,0.16,0,0,Warrensville Heights,OH,East North Central
College Medical Center Program,0.02,0.02,0,0.01,0.03,0,Long Beach,CA,Pacific
Community Memorial Health System Program,0.28,0.1,0.18,0.21,0.02,0,Ventura,CA,Pacific
Cone Health Program,0.49,0.06,0.27,0.1,0.03,0.01,Greensboro,NC,South Atlantic
Conemaugh Memorial Medical Center Program,0.19,0.02,0.18,0.14,0.01,0.02,Johnstown,PA,Middle Atlantic
Connecticut Institute For Communities Health Program,-,-,-,-,-,-,Danbury,CT,New England
Conway Regional Health System Program,0.89,0.11,0.42,0.38,0.06,0.05,Conway,AR,West South Central
Cook County Health and Hospitals System Program,0.4,0.04,0.19,0.2,0.02,0.03,Chicago,IL,East North Central
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.33,0.1,0.33,0.07,0.02,0.01,Camden,NJ,Middle Atlantic
Corewell Health - Grand Rapids/Michigan State University Program,-,-,-,-,-,-,Grand Rapids,MI,East North Central
Corewell Health (Dearborn) Program,-,-,-,-,-,-,Dearborn,MI,East North Central
Corewell Health (Farmington Hills) Program,0.44,0.02,0.01,0.17,0,0,Farmington Hills,MI,East North Central
Corewell Health (Trenton) Program,0.62,0.05,0.27,0.21,0.03,0,Trenton,MI,East North Central
Corewell Health Lakeland Program,0.44,0.11,0.51,0.33,0,0,St. Joseph,MI,East North Central
Corewell Health William Beaumont University Hospital Program,0.67,0.03,0.38,0.13,0.01,0.02,Royal Oak,MI,East North Central
Corry Memorial Hospital Program,-,-,-,-,-,-,Corry,PA,Middle Atlantic
Creighton University School of Medicine (Omaha) Program,0.98,0.13,0.73,0.7,0.04,0.05,Omaha,NE,West North Central
Creighton University School of Medicine Program,0.5,0.05,0.15,0.17,0.05,0.02,Phoenix,AZ,Mountain
Crozer-Chester Medical Center Program,0.31,0.02,0.13,0.15,0,0.02,Upland,PA,Middle Atlantic
Damas Hospital Program,0.52,0.07,0.47,0,0.1,0.01,Ponce,PR,South Atlantic
Danbury Hospital Program,0.33,0.04,0.27,0.15,0.07,0.02,Danbury,CT,New England
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,0.88,0.16,0.3,0.04,0.02,0.01,Lebanon,NH,New England
Detroit Medical Center Corporation (Huron Valley-Sinai)) Program,0.69,0.09,0.45,0.55,0.05,0.03,Commerce Township,MI,East North Central
Detroit Medical Center/Wayne State University (Sinai Grace) Program,0.29,0.05,0.19,0.06,0.05,0.04,Detroit,MI,East North Central
Detroit Medical Center/Wayne State University Program,0.62,0.07,0.22,0.15,0.08,0.07,Detroit,MI,East North Central
Detroit Wayne County Health Authority (Authority Health) GME Consortium Program,0.16,0.04,0.06,0.05,0.06,0.01,Detroit,MI,East North Central
Dignity Health East Valley Program,0.7,0.2,0.47,0.44,0.07,0,Chandler,AZ,Mountain
Dignity Health St. Rose Dominican Hospitals Program,0.7,0.19,0.53,0.51,0.08,0.03,Henderson,NV,Mountain
"Doctors Hospital at Renaissance, Ltd. Program",0.47,0.05,0.43,0.12,0.05,0.05,Edinburg,TX,West South Central
Duke University Hospital Program,0.4,0.07,0.13,0,0,0.02,Durham,NC,South Atlantic
Dwight David Eisenhower Army Medical Center Program,-,-,-,-,-,-,Fort Eisenhower,GA,South Atlantic
East Alabama Medical Center Program,0.77,0.16,0.59,0.47,0.02,0,Opelika,AL,East South Central
East Liverpool City Hospital Program,0.13,0.02,0,0.12,0,0,East Liverpool,OH,East North Central
East Tennessee State University/Quillen College of Medicine Program,0.33,0.02,0.12,0.16,0.03,0.01,Johnson City,TN,East South Central
Eastern Virginia Medical School Program,0.32,0.03,0.16,0.11,0.02,0.01,Norfolk,VA,South Atlantic
ECU Health Medical Center/East Carolina University Program,0.23,0.03,0.1,0.09,0.03,0.02,Greenville,NC,South Atlantic
Eisenhower Medical Center Program,0.29,0.11,0.33,0.12,0.12,0.02,Rancho Mirage,CA,Pacific
"Elson S Floyd College of Medicine, Washington State University Program",0.66,0.06,0.27,0.23,0.02,0.01,Everett,WA,Pacific
Emory University School of Medicine Program,0.43,0.1,0.19,0.01,0.01,0,Atlanta,GA,South Atlantic
Fairfield Medical Center Program,0.76,0.08,0.13,0.23,0.01,0,Lancaster,OH,East North Central
Family Health Center at NYU Langone Program,0.66,0.09,0.75,0.48,0.03,0.01,Brooklyn,NY,Middle Atlantic
Florida Atlantic University Charles E. Schmidt College of Medicine Program,0.3,0.04,0.19,0.09,0.04,0.02,Boca Raton,FL,South Atlantic
Florida International University Program,0.77,0.13,0.53,0.53,0.09,0,Miami,FL,South Atlantic
Florida State University College of Medicine (Sarasota) Program,0.47,0.04,0.28,0.12,0.04,0.02,Sarasota,FL,South Atlantic
