Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
AdventHealth Florida Program,0.23,0.05,0.45,0.1,0.18,0.03,0.02,0,Orlando,FL,South Atlantic
Akron General Medical Center/NEOMED Program,0.3,0.02,0.42,0.09,0.16,0.07,0,0,Akron,OH,East North Central
Albany Medical Center Program,-,-,-,-,-,-,-,-,Albany,NY,Middle Atlantic
Albert Einstein Healthcare Network Program,0.2,0,0.29,0.05,0.09,0.04,0.03,0,Philadelphia,PA,Middle Atlantic
Allegheny Health Network Medical Education Consortium (AGH) Program,0.24,0,0.29,0.07,0.13,0,0,0,Pittsburgh,PA,Middle Atlantic
Ascension Genesys Hospital Program,0.13,0,0.07,0.08,0.01,0.13,0.03,0,Grand Blanc,MI,East North Central
Ascension Macomb-Oakland Hospital Program,0.09,0.02,0.21,0.05,0.01,0.08,0,0,Madison Heights,MI,East North Central
Ascension Providence/MSUCHM Program,0.34,0,0.44,0.09,0.2,0.02,0,0,Southfield,MI,East North Central
Atlantic Health System Program,0.27,0,0.23,0.12,0.19,0.02,0.03,0,Morristown,NJ,Middle Atlantic
Aultman Hospital/NEOMED Program,0.15,0.01,0.22,0.07,0,0.16,0,0,Canton,OH,East North Central
Baylor College of Medicine Program,-,-,-,-,-,-,-,-,Houston,TX,West South Central
Baylor University Medical Center Program,-,-,-,-,-,-,-,-,Dallas,TX,West South Central
Boston University Medical Center Program,0.18,0.01,0.5,0.1,0.12,0.05,0.03,0,Boston,MA,New England
Broward Health Program,0.14,0.01,0.44,0.05,0.06,0.12,0.04,0,Fort Lauderdale,FL,South Atlantic
Brown University Program,0.26,0.01,0.9,0.13,0.16,0,0,0,Providence,RI,New England
Carilion Clinic-Virginia Tech Carilion School of Medicine Program,-,-,0.18,0.42,0.52,0.08,0.09,0,Roanoke,VA,South Atlantic
Carolinas Medical Center Program,0.15,0,0.47,0.08,0.11,0,0,0,Charlotte,NC,South Atlantic
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.24,0.01,0.33,0.11,0.15,0.07,0,0,Cleveland,OH,East North Central
Cedars-Sinai Medical Center Program,0.22,0,0.26,0.1,0.13,0.04,0.04,0,Los Angeles,CA,Pacific
Cleveland Clinic Foundation Program,0.2,0.01,0.31,0.08,0.11,0,0.02,0.03,Cleveland,OH,East North Central
Cleveland Clinic Foundation/South Pointe Hospital Program,-,-,-,-,-,-,-,-,Warrensville Heights,OH,East North Central
Community Memorial Health System Program,-,-,-,-,-,-,-,-,Ventura,CA,Pacific
Cooper Medical School of Rowan University/Cooper University Hospital Program,0.2,0.01,0.24,0.09,0.12,0.01,0,0,Camden,NJ,Middle Atlantic
Corewell Health - Grand Rapids/Michigan State University Program,0.22,0,0.32,0.07,0.12,0,0,0,Grand Rapids,MI,East North Central
Corewell Health (Farmington Hills and Dearborn) Program,-,-,-,-,-,-,-,-,Farmington Hills,MI,East North Central
Corewell Health William Beaumont University Hospital (Taylor) Program,0.22,0.07,0.44,0.1,0.18,0,0,0,Royal Oak,MI,East North Central
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,-,-,-,-,-,-,-,-,Lebanon,NH,New England
Detroit Medical Center/Wayne State University Program,0.26,0,0.35,0.06,0.12,0,0,0,Detroit,MI,East North Central
Duke University Hospital Program,0.14,0.02,0.11,0.09,0.11,0,0,0,Durham,NC,South Atlantic
Dwight David Eisenhower Army Medical Center Program,-,-,-,-,-,-,-,-,Fort Eisenhower,GA,South Atlantic
East Tennessee State University/Quillen College of Medicine Program,0.16,0.01,0.5,0.07,0.08,0.11,0,0,Johnson City,TN,East South Central
Emory University School of Medicine Program,0.25,0.01,0.26,0.14,0.16,0,0.06,0.04,Atlanta,GA,South Atlantic
Franciscan Health Olympia Fields Program,0.12,0.01,0.2,0.07,0,0.12,0.03,0,Olympia Fields,IL,East North Central
Garden City Hospital Program,-,-,0.29,0.03,0.01,0.09,0,0,Garden City,MI,East North Central
Geisinger Health System (Danville) Program,0.29,0.01,0.22,0.1,0.14,0.03,0,0,Danville,PA,Middle Atlantic
Geisinger Health System (Wilkes Barre) Program,0.31,0.06,0.3,0.13,0.19,0.06,0,0,Wilkes-Barre,PA,Middle Atlantic
George Washington University Program,-,-,-,-,-,-,-,-,Washington,DC,South Atlantic
Hackensack University Medical Center Program,-,-,0.35,0.06,0.1,0.02,0,0,Hackensack,NJ,Middle Atlantic
HCA Florida Healthcare/USF Morsani College of Medicine GME Largo Hospital Program,-,-,-,-,-,-,-,-,Largo,FL,South Atlantic
HCA Florida JFK Hospital/University of Miami Miller School of Medicine GME Consortium Program,0.42,0.03,0.41,0.15,0.21,0.07,0.07,0.33,Atlantis,FL,South Atlantic
HCA Medical City Healthcare UNT-TCU GME (Denton) Program,0.19,0.04,0.17,0.08,0.13,0.01,0.03,0,Denton,TX,West South Central
Henry Ford Health/Henry Ford Hospital Program,0.3,0,0.41,0.11,0.17,0.02,0,0.11,Detroit,MI,East North Central
Henry Ford Health/Henry Ford Macomb Hospital Program,-,-,0.22,0.03,0,0.09,0,0,Clinton Township,MI,East North Central
Hospital for Special Surgery/Cornell Medical Center Program,0.18,0.03,0.25,0.09,0.12,0,0,0,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai Program,-,-,-,-,-,-,-,-,New York,NY,Middle Atlantic
Indiana University School of Medicine Program,0.25,0.03,0.6,0.11,0.14,0.02,0,0,Indianapolis,IN,East North Central
Inspira Health Network/Inspira Medical Center Vineland Program,0.19,0,0.24,0.09,0,0.18,0,0,Vineland,NJ,Middle Atlantic
Jack Hughston Memorial Hospital Program,-,-,-,-,-,-,-,-,Phenix City,AL,East South Central
Jefferson Health New Jersey Program,-,-,-,-,-,-,-,-,Stratford,NJ,Middle Atlantic
John Peter Smith Hospital (Tarrant County Hospital District) Program,0.21,0,0.32,0.07,0.16,0.01,0,0,Fort Worth,TX,West South Central
Johns Hopkins University Program,0.13,0.05,0.33,0.09,0.11,0.02,0,0,Baltimore,MD,South Atlantic
Kansas City University GME Consortium (KCU-GME Consortium)/HCA Healthcare Kansas City Program,0.12,0.01,0.21,0.06,0.01,0.12,0,-,Kansas City,MO,West North Central
Kettering Health Network Program,-,-,-,-,-,-,-,-,Dayton,OH,East North Central
Kirk Kerkorian School of Medicine at UNLV Program,0.22,0,0.64,0.08,0.11,0,0,-,Las Vegas,NV,Mountain
Lake Erie College of Osteopathic Medicine Program,-,-,-,-,-,-,-,-,Erie,PA,Middle Atlantic
Larkin Community Hospital Program,0.1,0.01,0.23,0.05,0.03,0.11,0.03,0.04,Miami,FL,South Atlantic
Loma Linda University Health Education Consortium Program,-,-,-,-,-,-,-,-,Loma Linda,CA,Pacific
Los Angeles County-Harbor-UCLA Medical Center Program,-,-,-,-,-,-,-,-,Torrance,CA,Pacific
Louisiana State University (Shreveport) Program,0.28,0.04,0.63,0.1,0.15,0.02,0.03,0,Shreveport,LA,West South Central
Louisiana State University School of Medicine Program,-,-,-,-,-,-,-,-,New Orleans,LA,West South Central
Loyola University Medical Center Program,0.15,0,0.13,0.07,0.08,0,0,0,Maywood,IL,East North Central
Madigan Army Medical Center Program,-,-,-,-,-,-,-,-,Tacoma,WA,Pacific
Maimonides Medical Center Program,0.36,0,0.34,0.14,0.2,0.05,0,0,Brooklyn,NY,Middle Atlantic
Marshall University School of Medicine Program,-,-,-,-,-,-,-,-,Huntington,WV,South Atlantic
Mass General Brigham/Massachusetts General Hospital/Brigham and Women's Hospital/Harvard Medical School Program,0.16,0.01,0.44,0.09,0.12,0,0.04,0,Boston,MA,New England
Mayo Clinic College of Medicine and Science (Phoenix) Program,0.09,0,0.25,0.03,0.04,0.02,0.03,0,Phoenix,AZ,Mountain
Mayo Clinic College of Medicine and Science (Rochester) Program,0.05,0.08,0.54,0.06,0.08,0,0,0,Rochester,MN,West North Central
McGaw Medical Center of Northwestern University Program,0.1,0.04,0.05,0.07,0.08,0,0,0,Chicago,IL,East North Central
McLaren Health Care/Flint/MSU Program,0.4,0.04,0.6,0.12,0.27,0.06,0,0,Flint,MI,East North Central
McLaren Health Care/Greater Lansing/MSU Program,-,-,-,-,-,-,-,-,Lansing,MI,East North Central
McLaren Health Care/Macomb/MSU Program,0.1,0,0.28,0.06,0,0.09,0,-,Mt. Clemens,MI,East North Central
McLaren Health Care/Oakland/MSU Program,-,-,-,-,-,-,-,-,Pontiac,MI,East North Central
Medical College of Georgia Program,0.31,0,0.69,0.08,0.14,0,0,0,Augusta,GA,South Atlantic
Medical College of Wisconsin Affiliated Hospitals Program,0.37,0,0.2,0.14,0.16,0.03,0,0,Milwaukee,WI,East North Central
Medical University of South Carolina Program,-,-,-,-,-,-,-,-,Charleston,SC,South Atlantic
