Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Albany Medical Center Program,0.31,0.16,0.46,0.17,0.29,0.18,0.12,0.2,Albany,NY,Middle Atlantic
Allegheny Health Network Medical Education Consortium (AGH) Program,-,-,-,-,-,-,-,-,Pittsburgh,PA,Middle Atlantic
Ascension St John Hospital Program,0.21,0.08,0.57,0.08,0.27,0.26,0.07,0.05,Detroit,MI,East North Central
Baylor College of Medicine Program,0.3,0.13,0.77,0.12,0.51,0.36,0.04,0.06,Houston,TX,West South Central
Baylor University Medical Center Program,0.56,0.07,0.78,0.07,0.19,0.47,0.02,0.03,Dallas,TX,West South Central
Beth Israel Deaconess Medical Center/Harvard Medical School Program,0.5,0.15,0.6,0.18,0.53,0.31,0.03,0.06,Boston,MA,New England
Boston University Medical Center Program,0.27,0.03,0.33,0.04,0.1,0.03,0.06,0.03,Boston,MA,New England
Brown University Program,0.41,0.08,-,0.11,0.35,0.18,0.04,0.04,Providence,RI,New England
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,0.09,0.1,0.31,0.09,0.3,0.37,0.04,0.04,Cleveland,OH,East North Central
Cedars-Sinai Medical Center Program,0.29,0.08,0.58,0.07,0.3,0.27,0.03,0.04,Los Angeles,CA,Pacific
Centura Health Corporation Program,0.41,0.09,1,0.09,0.28,0.25,0.05,0,Colorado Springs,CO,Mountain
Cleveland Clinic Foundation Program,0.38,0.09,0.47,0.13,0.31,0.23,0.03,0.11,Cleveland,OH,East North Central
Cooper Medical School of Rowan University/Cooper University Hospital Program,-,-,0.67,0.09,0.44,0.52,0.05,0.03,Camden,NJ,Middle Atlantic
Corewell Health William Beaumont University Hospital Program,0.16,0.05,0.85,0.05,0.26,0.25,0.02,0.03,Royal Oak,MI,East North Central
Creighton University School of Medicine (Omaha) Program,0.41,0.05,1,0.06,0.19,0.26,0.05,0.02,Omaha,NE,West North Central
Danbury Hospital Program,0.16,0.08,0,0.08,0,0.03,0.05,0.13,Danbury,CT,New England
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,0.59,0.07,-,0.1,0.36,0.25,0.01,0.01,Lebanon,NH,New England
Detroit Medical Center/Wayne State University Program,-,-,-,-,-,-,-,-,Detroit,MI,East North Central
Duke University Hospital Program,0.53,0.2,0.71,0.23,0.62,0.03,0.01,0.01,Durham,NC,South Atlantic
East Tennessee State University/Quillen College of Medicine Program,0.41,0.09,0.27,0.1,0.16,0.32,0.08,0.07,Johnson City,TN,East South Central
ECU Health Medical Center/East Carolina University Program,0.31,0.06,0.25,0.08,0.02,0.03,0.09,0.1,Greenville,NC,South Atlantic
Emory University School of Medicine Program,-,-,-,-,-,-,-,-,Atlanta,GA,South Atlantic
Geisinger Health System Program,0.24,0.03,0.5,0.04,0.24,0.19,0.03,0,Danville,PA,Middle Atlantic
George Washington University Program,0.39,0.31,1,0.31,0.38,0.26,0.24,0.38,Washington,DC,South Atlantic
