Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Allegheny Health Network Medical Education Consortium (AGH) Program,-,-,-,-,-,-,Pittsburgh,PA,Middle Atlantic
Baylor College of Medicine Program,1,0.45,0.56,0.5,0.38,0.35,Houston,TX,West South Central
Case Western Reserve University/University Hospitals Cleveland Medical Center Program,-,-,-,-,-,-,Cleveland,OH,East North Central
Cedars-Sinai Medical Center Program,0.75,0.33,0.6,0.15,0,0,Los Angeles,CA,Pacific
City of Hope National Medical Center Program,-,-,-,-,-,-,Duarte,CA,Pacific
Cleveland Clinic Foundation Program,0.44,0.24,0.39,0,0.09,0.03,Cleveland,OH,East North Central
Corewell Health William Beaumont University Hospital Program,1,0.41,0.61,0.67,0.25,0.26,Royal Oak,MI,East North Central
Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,0.5,0.43,0.65,0.23,0.25,0.17,Lebanon,NH,New England
Detroit Medical Center/Wayne State University Program,-,-,-,-,-,-,Detroit,MI,East North Central
Duke University Hospital Program,0.67,0.35,0.52,0.05,0,0.04,Durham,NC,South Atlantic
Emory University School of Medicine Program,1,0.58,0.79,0.42,0.13,0.1,Atlanta,GA,South Atlantic
Henry Ford Health/Henry Ford Hospital Program,0.8,0.3,0.43,0.41,0.21,0.14,Detroit,MI,East North Central
Icahn School of Medicine at Mount Sinai Program,0.53,0.15,0.29,0.06,0,0.04,New York,NY,Middle Atlantic
Indiana University School of Medicine Program,1,0.5,0.77,0.67,0.24,0.2,Indianapolis,IN,East North Central
Johns Hopkins University Program,1,0.28,0.41,0.12,0,0,Baltimore,MD,South Atlantic
Kaiser Permanente Southern California (Los Angeles) Program,0.75,0.33,0.65,0,0,0,Los Angeles,CA,Pacific
Loma Linda University Health Education Consortium Program,-,-,-,-,-,-,Loma Linda,CA,Pacific
Loyola University Medical Center Program,0.6,0.33,0.54,0.36,0.09,0.17,Maywood,IL,East North Central
Maimonides Medical Center/SUNY Downstate HSU Program,-,-,-,-,-,-,Brooklyn,NY,Middle Atlantic
Mass General Brigham/Brigham and Women's Hospital/Massachusetts General Hospital/Harvard Medical School Program,-,-,-,-,-,-,Boston,MA,New England
Mayo Clinic College of Medicine and Science (Jacksonville) Program,0.5,0.36,0.48,0.54,0.31,0.09,Jacksonville,FL,South Atlantic
Mayo Clinic College of Medicine and Science (Phoenix) Program,1,0.25,0.44,0.13,0.11,0.1,Phoenix,AZ,Mountain
Mayo Clinic College of Medicine and Science (Rochester) Program,-,-,-,-,-,-,Rochester,MN,West North Central
McGaw Medical Center of Northwestern University Program,-,-,-,-,-,-,Chicago,IL,East North Central
Medical College of Wisconsin Affiliated Hospitals Program,1,0.25,0.32,0.2,0.32,0.21,Milwaukee,WI,East North Central
